name,restaurant_name,identifier,calories,price_usd
BOX OF FRENCH FRIES - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.40
FRIED MUSHROOMS (20) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.77
FRIED PICKLE SPEARS (8) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.77
JALAPENO POPPERS (6) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.77
MOZZARELLA CHEESE STICKS - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.77
FALAFEL PLATE (6) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.66
HOUSE SALAD - SIDE SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,5.74
HOUSE SALAD - FULL SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.34
CAESAR SALAD - SIDE SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,5.74
CAESAR SALAD - FULL SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.34
GREEK SALAD - SIDE SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.74
GREEK SALAD - FULL SALAD,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.07
GRILLED CHICKEN HOUSE SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.58
FRIED CHICKEN HOUSE SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,10.86
GRILLED CHICKEN CAESAR SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.58
CHEF SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,10.59
BUFFALO CHICKEN HOUSE SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,10.86
TUNA SALAD - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.58
WINGS (5) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.74
WINGS (7) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,10.47
WINGS (10) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,14.35
WINGS (15) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,21.08
WINGS (20) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,28.03
WINGS (25) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,33.96
WINGS (30) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,41.03
WINGS (40) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,53.57
WINGS (50) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,66.11
WINGS (75) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,96.88
WINGS (100) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,131.08
CHICKEN TENDERS - 3 PIECES,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,5.51
CHICKEN TENDERS - 4 PIECES,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.71
CHICKEN TENDERS - 5 PIECES,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.91
CHICKEN TENDERS - 6 PIECES,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.11
CHICKEN TENDERS - 10 PIECES,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,12.31
ITALIAN SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.45
TURKEY & CHEESE SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.40
HAM & CHEESE SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.45
CLUB SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.45
TUNA SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.00
VEGGIE SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.89
PHILLY CHEESESTEAK SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.07
PHILLY CHICKEN CHEESE SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.00
BUFFALO CHICKEN SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.00
CHICKEN FAJITA SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.00
BBQ CHICKEN SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.00
JERK CHICKEN SUB - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,9.00
THE CHEX BURGER - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.66
DOUBLE CHEESEBURGER - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,10.22
ANGUS CHEESEBURGER - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.66
CRISPY FRIED CHICKEN SANDWICH - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.66
BACON CHICKEN RANCH ON PITA - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.83
GRILLED CHICKEN CAESAR WRAP - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.55
GREEK CHICKEN WRAP - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.55
GRILLED CHICKEN SANDWICH - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.19
GYRO SANDWICH - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.49
STEAK QUESADILLA - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.91
CHICKEN QUESADILLA - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,7.91
SHAWARMA SANDWICH - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,8.15
FALAFEL WRAP - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,6.99
WINGS SPECIAL (20) - REGULAR,CHEX GRILL & WINGS,"CHOWNOW, GASTONIA, NC",,33.73
