name,restaurant_name,identifier,calories,price_usd
NACHOS - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,14.38
BUFFALO WINGS (5) - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,12.28
BUFFALO WINGS (8) - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,16.01
BUFFALO WINGS (16) - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,27.79
BONELESS WINGS - 6 PC.,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,10.66
BONELESS WINGS - 10 PC.,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,13.15
BONELESS WINGS - 20 PC.,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,21.82
SPICY QUESO - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,10.28
SPINACH DIP - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,10.28
QUESADILLAS - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,12.52
CHICKEN TENDERS (3) - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,11.90
CHIPS AND SALSA - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,7.18
BAKED CHEESE BREAD - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,8.42
GARLIC BREAD - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,4.70
BASKET OF ONION RINGS - REGULAR,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,10.28
CHILI - CUP,CHICAGO PIZZA & SPORTS GRILLE,"CHOWNOW, SMYRNA, GA",,4.70
