name,restaurant_name,identifier,calories,price_usd
CREAM CHEESE WONTONS - SET OF 3,CHINA COOK,"FONTANA, CA",,2.55
CRUNCHY NOODLE - SMALL BAG,CHINA COOK,"FONTANA, CA",,1.86
1 EGG ROLL - SET OF 1,CHINA COOK,"FONTANA, CA",,1.62
2 EGG ROLLS - SET OF 2,CHINA COOK,"FONTANA, CA",,2.32
EGG FLOWER SOUP - SMALL,CHINA COOK,"FONTANA, CA",,1.86
EGG FLOWER SOUP - LARGE,CHINA COOK,"FONTANA, CA",,6.45
HOT AND SOUR SOUP - SMALL,CHINA COOK,"FONTANA, CA",,1.86
HOT AND SOUR SOUP - LARGE,CHINA COOK,"FONTANA, CA",,6.45
NOODLE SOUP - ONE SIZE,CHINA COOK,"FONTANA, CA",,6.96
VEGETABLE SOUP - ONE SIZE,CHINA COOK,"FONTANA, CA",,6.96
WOR WONTON SOUP - ONE SIZE,CHINA COOK,"FONTANA, CA",,6.96
COMBO PLATE - REGULAR,CHINA COOK,"FONTANA, CA",,8.58
SPECIAL BOWL - REGULAR,CHINA COOK,"FONTANA, CA",,6.50
SPECIAL COOK FRIED RICE - LARGE,CHINA COOK,"FONTANA, CA",,9.98
ENTRÉE - SMALL,CHINA COOK,"FONTANA, CA",,3.34
ENTRÉE - MEDIUM,CHINA COOK,"FONTANA, CA",,6.50
ENTRÉE - LARGE,CHINA COOK,"FONTANA, CA",,8.26
SIDE - SMALL,CHINA COOK,"FONTANA, CA",,2.18
SIDE - MEDIUM,CHINA COOK,"FONTANA, CA",,4.18
SIDE - LARGE,CHINA COOK,"FONTANA, CA",,5.15
PARTY ENTRÉES - HALF TRAY,CHINA COOK,"FONTANA, CA",,23.99
PARTY ENTRÉES - FULL TRAY,CHINA COOK,"FONTANA, CA",,34.99
PARTY SIDES - HALF TRAY,CHINA COOK,"FONTANA, CA",,14.99
PARTY SIDES - FULL TRAY,CHINA COOK,"FONTANA, CA",,21.76
SUPER PACK - SUPER PACK,CHINA COOK,"FONTANA, CA",,34.99
PARTY SPECIAL COOK FRIED RICE - HALF TRAY,CHINA COOK,"FONTANA, CA",,25.99
PARTY SPECIAL COOK FRIED RICE - FULL TRAY,CHINA COOK,"FONTANA, CA",,36.98
BOTTLED WATER - REGULAR,CHINA COOK,"FONTANA, CA",,1.39
FOUNTAIN DRINK - SMALL,CHINA COOK,"FONTANA, CA",,1.86
FOUNTAIN DRINK - LARGE,CHINA COOK,"FONTANA, CA",,2.09
FLAVORED TEA - NO BOBA,CHINA COOK,"FONTANA, CA",,2.78
FLAVORED TEA - WITH BOBA,CHINA COOK,"FONTANA, CA",,3.25
MILK TEA - NO BOBA,CHINA COOK,"FONTANA, CA",,2.78
MILK TEA - WITH BOBA,CHINA COOK,"FONTANA, CA",,3.25
THAI TEA - NO BOBA,CHINA COOK,"FONTANA, CA",,2.78
THAI TEA - WITH BOBA,CHINA COOK,"FONTANA, CA",,3.25
