name,restaurant_name,identifier,calories,price_usd
SALT & PEPPER CHICKEN WINGS (6) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,9.95
SHRIMP ROLL (2) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,5.25
CREAM CHEESE WONTON (5) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,7.25
SHANGHAI DUMPLINGS (6) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,9.25
POT STICKERS (4) - CHICKEN,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.75
POT STICKERS (4) - VEGETABLE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.75
STEAMED DUMPLINGS (4) - CHICKEN,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.75
STEAMED DUMPLINGS (4) - VEGETABLE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.75
B.B.Q. PORK - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,8.55
CHAR SIU BAO (2) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,5.25
EGG ROLL (2) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,5.25
HAR GOW (4) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,5.25
CHEF'S CALAMARI - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,9.95
DIM SUM SAMPLER (8) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,12.75
SIU MAI (4) - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,5.25
SCALLION PANCAKE - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,7.25
WONTON SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,12.55
WONTON SOUP - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,7.55
VEGETABLE SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,11.55
VEGETABLE SOUP - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.75
HOT & SOUR SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,11.55
HOT & SOUR SOUP - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,6.95
CHICKEN VEGETABLE SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,11.95
CHICKEN VEGETABLE SOUP - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,7.55
CHICKEN CORN SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,11.95
CHICKEN CORN SOUP - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,7.25
WEST LAKE BEEF SOUP - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,13.25
CHICKEN SALAD - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,10.95
BLACK BEAN CHICKEN - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,13.55
BLACK BEAN CHICKEN - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,10.55
CASHEW CHICKEN - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,13.55
CASHEW CHICKEN - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,10.55
CHICKEN LETTUCE WRAPS - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,14.55
CHICKEN VEGETABLE - LARGE,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,13.55
CHICKEN VEGETABLE - SMALL,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,10.55
CURRY CHICKEN - REGULAR,CHI'S CHINESE CUISINE,"NORTHRIDGE, CA",,14.55
