name,restaurant_name,identifier,calories,price_usd
BREAKFAST SANDWICH - BAGEL,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,5.00
BREAKFAST SANDWICH - ENGLISH MUFFIN,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,5.00
BREAKFAST SANDWICH - GLUTEN FREE,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,5.00
BREAKFAST SANDWICH - CROISSANT,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,6.00
CHOCOLATE MUFFIN - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,3.00
CINNAMON ROLL - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,4.00
SCONE - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,4.00
CHOCOLATE CHIP COOKIE - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,1.00
VANILLA BISCOTTI - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,2.00
TURNOVER - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,3.00
SEASONAL COOKIE-LEMON - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,1.00
HOUSE BAKED FOCACCIA BREAD - HALF LOAF,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,6.00
LEMON COOKIE - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,1.00
SINGLE BISCUIT AND GRAVY-AVAILABLE UNTIL NOON - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,10.00
OLD FASHIONED OAT MEAL - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,6.00
YOGURT PARFAIT - REGULAR,CHOCMO CHOCOLATIER AND CAFE,"CHOWNOW, POULSBO, WA",,4.00
