name,restaurant_name,identifier,calories,price_usd
POT STICKERS - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,9.95
LETTUCE WRAPS - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,8.95
ASSORTED WINGS - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
BBQ PORK - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,10.95
EGG ROLLS - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,6.95
SWEET & SOUR - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
MONGOLIAN BEEF - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,13.95
SESAME CHICKEN - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
ORANGE CHICKEN - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
KUNG PAO CHICKEN - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
CASHEW CHICKEN - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
HONEY WALNUT - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
PAD THAI - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
FRIED RICE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,9.95
YAKISOBA NOODLES - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,12.95
BUILD YOUR OWN BOWL - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,11.95
KOREAN BEEF BAHN MI - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,9.95
ASIAN GLAZE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
SWEET & SOUR - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
MONGOLIAN SAUCE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
ORANGE SAUCE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
PEANUT SAUCE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
SESAME SAUCE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.00
SIDE WHITE RICE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.25
SODA - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.50
COFFEE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.15
HOT TEA - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.15
ICED TEA - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.15
MILK - SMALL,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.25
MILK - LARGE,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.25
JUICE - SMALL,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.25
JUICE - LARGE,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.25
LEMONADE - SMALL,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.25
LEMONADE - LARGE,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.25
FRESH SQUEEZED ORANGE JUICE - SMALL,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,2.75
FRESH SQUEEZED ORANGE JUICE - MEDIUM,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.50
FRESH SQUEEZED ORANGE JUICE - LARGE,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,6.50
HOT CHOCLATE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.25
CHOCOLATE MILK - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.25
SHIRLEY TEMPLE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.85
ROY ROGERS - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,3.85
ROOT BEER FLOAT - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,5.85
STRAWBERRY LEMONADE - REGULAR,CHOW FUSION,"CHOWNOW, SNOHOMISH, WA",,4.75
