name,restaurant_name,identifier,calories,price_usd
AFFOGATO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.75
ICE CREAM SANDO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,7.00
PINT - PINT,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,11.00
QUART - QUART,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,22.00
SCOOPS - MINI (1 SCOOP - 1 FLAVOR),CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.00
SCOOPS - STANDARD (2 SCOOPS - 2 FLAVORS),CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,6.50
SCOOPS - LARGE (3 SCOOPS - 3 FLAVORS),CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,8.25
SNOWY FLOAT - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,7.00
AMERICANO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.50
CAPPUCCINO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.50
CHAI LATTE - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.25
CHAI TEA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.75
CHAMOMILE TEA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.00
COLD BREW - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.00
CORTADO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.75
DRIP COFFEE - 8 OZ,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,2.75
DRIP COFFEE - 12 OZ,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.50
EARL GREY TEA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.00
ESPRESSO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.50
GENMAICHA TEA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.00
GREEN TEA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.00
HOT COCOA - 8 OZ,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.25
HOT COCOA - 12 OZ,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.00
ICED AMERICANO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,4.00
KID'S STEAMED MILK - 8 OZ,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,1.50
LATTE - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.00
MACCHIATO - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,3.75
MATCHA LATTE - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.00
MATCHA PLOVER - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.25
MOCHA - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.25
SNOWY PLOVER - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.25
CHOCOLATE CHIP COOKIE - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,2.50
DONUT MUFFIN - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,2.00
MATCHA AMARETTI COOKIE - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,2.50
ALL PURPOSE FLOUR - REGULAR,CHURN URBAN CREAMERY,"SAN FRANCISCO, CA",,5.50
