name,restaurant_name,identifier,calories,price_usd
MOZZARELLA DI CAPRICCIO - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,14.00
OSTRICHE - HALF DOZEN,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,15.00
OSTRICHE - DOZEN,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,28.00
CARCIOFI ALLA ROMANELLI - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,14.00
GNOCCHI CAPRESE - APPETIZER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,13.00
GNOCCHI CAPRESE - DINNER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,25.00
BRUSCHETTA - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,12.00
ZUCCHINI FRITTI - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,11.00
OSTRICHE ALLA GIANNINI - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,18.00
VITELLO POLPETE - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,14.00
RAVIOLI DEL GIORNO - APPETIZER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,13.00
RAVIOLI DEL GIORNO - DINNER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,24.00
COZZE MARINARA - APPETIZER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,13.00
COZZE MARINARA - DINNER,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,25.00
ZUPPA DEL GIORNO - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,8.00
INSALATA DI CASA - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,6.00
INSALATA CESARE - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,13.00
INSALATA MISTA - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,12.00
LASAGNA AL FORNO - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,24.00
MARINARA - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,19.00
MARINARA - SIDE,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,6.00
AGLIO E OLIO - REGULAR,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,17.00
AGLIO E OLIO - SIDE,CIRO AND SALS,"CHOWNOW, PROVINCETOWN, MA",,6.00
