name,restaurant_name,identifier,calories,price_usd
DRIP COFFEE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,3.00
ESPRESSO - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.98
AMERICANO - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.98
CORTADO - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,3.67
MACCHIATO - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,3.67
FLAT WHITE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,3.99
LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,5.00
VANILLA LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,5.50
HONEY LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,5.50
CHOCOLATE LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,6.00
GINGER LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,6.00
GINGER BEER - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,4.00
MATCHA LATTE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,5.50
GOLDEN MILK - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,5.05
HOT CHOCOLATE - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,4.50
HOT CHOCOLATE - KID,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.75
FRAGRANT CONSORT - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,4.50
PEPPERMINT - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.98
RED CHAI - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.98
LEMON VERBENA - REGULAR,COAT CHECK COFFEE,"CHOWNOW, INDIANAPOLIS, IN",,2.98
