name,restaurant_name,identifier,calories,price_usd
BLACK JACK MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,9.00
BLUE CIELO MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,9.00
CADILLAC MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,12.00
COCONUT MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
JALAPEÑO MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.00
ORIGINAL MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,8.00
ORIGINAL MARGARITA - 32 OZ. JAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,30.00
ORIGINAL MARGARITA (32 OZ. JAR) - SERVES 4 - 32 OZ. JAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,30.00
PRESIDENTE MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.00
ROSARITA MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,9.00
SKINNY MARG' - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
TROPICAL MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,9.00
ULTIMATE MARGARITA - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
BABY CHIMICHANGAS - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
TAQUITO BITES - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
NACHOS SUPREME - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.00
SHRIMP & SPINACH QUESO DIP - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.50
FIESTA SAMPLER - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,14.50
QUESO DIP - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,7.00
MEXICALI WINGS - 8 WINGS,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,10.00
MEXICALI WINGS - 16 WINGS,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,17.50
GUACAMOLE FRESCO - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.00
SOPA DE ALBONDIGAS - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,7.00
SOPA DE MARISCOS - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,18.50
TACO SALAD - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,11.00
CRISPY CHICKEN SALAD - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,13.00
CAESAR SALAD - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,13.00
FAJITA SALAD - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,12.00
RANCHERO AVOCADO SALAD - REGULAR,COLD STONE CREAMERY,"CHOWNOW, WOODRIDGE, IL",,13.00
