name,restaurant_name,identifier,calories,price_usd
SAGANAKI - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
ROASTED GARLIC - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
OPAA! SHRIMP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
SPANAKOPITA - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,8.99
CHICAGO STYLE MUSHROOMS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
GIANT KING PRETZEL - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
FILET SLIDERS (3) - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,17.99
CALAMARI - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
MINI GYROS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
JUMBO ONION RINGS APPETIZER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
BUFFALO WINGS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
POTATO SKINS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
BUFFALO CHICKEN TENDERS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
CHICKEN FINGERS APPETIZER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
CHEESE CURDS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
SOUP OF THE DAY - CUP,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,3.99
SOUP OF THE DAY - BOWL,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,4.99
SOUP OF THE DAY - QUART,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
BAKED FRENCH ONION - CUP,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,4.99
BAKED FRENCH ONION - BOWL,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,5.99
FRENCH ONION SOUP (NO CHEESE) - CUP,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,3.99
FRENCH ONION SOUP (NO CHEESE) - BOWL,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,4.99
FRENCH ONION SOUP (NO CHEESE) - QUART,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
GREEK SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
CAESAR SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,9.99
BUFFALO CHICKEN SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
COBB SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,10.99
SOUTHWEST BBQ CHICKEN SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
FILET & BLEU STEAK SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,17.99
BERRY NUT SALAD - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
GYROS WRAP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
CHICKEN CAESAR WRAP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
CRISPY CHICKEN WRAP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
BUFFALO CHICKEN WRAP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
GYROS SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
GYROS PLATE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
FILET MIGNON SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,17.99
PRIME RIB PHILLY CHEESESTEAK - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
CRISPY FISH SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
FRENCH DIP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
ITALIAN DIP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
REUBEN - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
TURKEY CLUB - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
ULTIMATE GRILLED CHEESE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
PUB CHICKEN SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
BUFFALO CHICKEN SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
B.L.T. CLUB - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
CHIPOTLE CHICKEN WRAP - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
TACOS - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
THE VEGAN BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
CHEESEBURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
SQUIRE BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.49
BACON CHEDDAR BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
MINI BURGERS (3) - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
MUSHROOM SWISS BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.49
WESTERN BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
BLEU CHEESE BACON BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
SQUIRE MELT - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
CHIPOTLE VEGGIE BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
PUB BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,15.99
TURKEY BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
SALMON BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,16.99
CHICKEN PARMESAN - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,16.99
TAVERN MAC & CHEESE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
ALFREDO - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
THE VEGAN - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,14.99
BROILED CHICKEN BREAST PLATE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
ALL PROTEIN PLATE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,13.99
CHIPOTLE VEGGIE BURGER - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,12.99
SALMON PROTEIN PLATE - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,16.99
BOWL OF SOUP & HALF SANDWICH - REGULAR,COOKIES & DREAMS - DAVENPORT,"CHOWNOW, DAVENPORT, IA",,11.99
