name,restaurant_name,identifier,calories,price_usd
BRISKET SANDWICH - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.99
PORK SANDWICH - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.99
FRIED CHICKEN BREAST - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,3.00
FRIED CHICKEN LEG - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,2.00
FRIED CHICKEN THIGH - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,2.50
FRIED CHICKEN WING - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,2.00
TENDERS - 1 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,1.51
TENDERS - 4 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
1/3 ANGUS BURGER - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.99
2PC WHITE - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.59
6 BUFFALO WINGS - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.99
3 CHICKEN TENDERS - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,6.00
CHICKEN WINGS - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,6.00
FRIED CHICKEN - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
GIZZARD COMBO - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
GIZZARD - SMALL,COUNTRY MART,"CHOWNOW, BENSON, NC",,3.00
GIZZARD - MEDIUM,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.00
GIZZARD - LARGE,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
LIVER COMBO - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
LIVER - SMALL,COUNTRY MART,"CHOWNOW, BENSON, NC",,3.00
LIVER - MEDIUM,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.00
LIVER - LARGE,COUNTRY MART,"CHOWNOW, BENSON, NC",,5.00
2PC WHITE - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,6.89
BUFFALO CHICKEN WINGS - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,7.00
CHICKEN DINNER - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,6.50
CHICKEN DINNER - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,7.50
CHICKEN TENDERS - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,7.00
GIZZARD DINNER - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,7.00
LIVER DINNER - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,7.00
9 PIECE FRIED CHICKEN & 2 SIDES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,18.00
9 PIECE FRIED CHICKEN & WEDGES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,18.00
20 PIECE LARGE CHICKEN TENDERS & 2 SIDES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,30.00
20 PIECE LARGE CHICKEN TENDERS & WEDGES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,30.00
12 PIECE LARGE FRIED CHICKEN & 2 SIDES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,22.00
12 PIECE FRIED CHICKEN & WEDGES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,22.00
12 PIECE CHICKEN TENDERS & 2 SIDES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,22.00
12 PIECE CHICKEN TENDERS & WEDGES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,22.00
6 PIECE CHICKEN TENDERS & 2 SIDES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,18.00
6 PIECE CHICKEN TENDERS & WEDGES - REGULAR,COUNTRY MART,"CHOWNOW, BENSON, NC",,18.00
FRIED CHICKEN - 8 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,12.00
FRIED CHICKEN - 12 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,15.00
TENDERS - 8 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,10.00
TENDERS - 12 PC.,COUNTRY MART,"CHOWNOW, BENSON, NC",,13.00
CHIPS - SMALL,COUNTRY MART,"CHOWNOW, BENSON, NC",,2.00
CHIPS - MEDIUM,COUNTRY MART,"CHOWNOW, BENSON, NC",,3.00
CHIPS - LARGE,COUNTRY MART,"CHOWNOW, BENSON, NC",,4.00
FRIES - SMALL,COUNTRY MART,"CHOWNOW, BENSON, NC",,2.00
