name,restaurant_name,identifier,calories,price_usd
ASPARAGUS FLATBREAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,12.00
FILET SLIDERS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,15.00
FRIED CHEESE CURDS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
MEATBALLS (3) - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,11.00
SHRIMP TOAST - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,10.00
SMOKED CHICKEN WINGS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,13.00
STREET TACOS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,8.00
TEX MEX NACHOS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
SOFT BAKED PREZELS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
HUMMUS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,10.00
CRISPY BRUSSELS SPROUTS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
CUP OF BEEF CHILI - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,8.00
FRENCH ONION SOUP - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,8.00
SOUTHWEST COBB SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,14.00
SPRING SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,12.00
CHOPPED SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,12.00
CAESAR SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,10.00
ALL-AMERICAN CHEESEBURGER - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,13.00
BBQ BEEF SANDWICH - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,14.00
BIG ALE PRIME BURGER - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,15.00
BUFFALO GROVE SMASH BURGER - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,15.00
SOUTHWEST TURKEY BURGER - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,13.00
THE HOT MESS BURGER - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,14.00
COUNTYLINE REUBEN - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,15.00
HONEY MUSTARD CHICKEN - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,13.00
BROILED WHITEFISH - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,19.00
CEDAR PLANK SALMON - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,25.00
FRIED CHICKEN - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,18.00
HANGER STEAK FRITES - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,26.00
STIR FRY - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,15.00
BEER-BATTERED FISH & CHIPS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,17.00
CHICKEN POT PIE - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,17.00
CAJUN MAC & CHEESE - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,17.00
GRILLED PICNIC CHICKEN - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,19.00
KID'S CHICKEN TENDERS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,8.00
KID'S MAC & CHEESE - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
KID'S PASTA - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,8.00
KID'S CHEESEBURGER SLIDERS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,9.00
FRENCH FRIES OR SWEET POTATO FRIES - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,5.00
GRILLED ASPARAGUS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,5.00
GRILLED SWEET RED ONIONS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,4.00
SAUTEED SPINACH - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,5.00
SIDE SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,5.00
SIDE CAESAR SALAD - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,5.00
FRIES - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,4.00
HOUSE MADE CHIPS - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,4.00
MASHED POTATOES - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,4.00
COLESLAW - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,4.00
CHOCOLATE WALNUT CHUNK COOKIES - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,6.00
WARM BUTTER CAKE - REGULAR,COUNTYLINE TAVERN,"CHOWNOW, BUFFALO GROVE, IL",,10.00
