name,restaurant_name,identifier,calories,price_usd
GIFT CARDS - $25,COUP DE THAI,"LOS GATOS, CA",,25.00
GIFT CARDS - $50,COUP DE THAI,"LOS GATOS, CA",,50.00
GIFT CARDS - $75,COUP DE THAI,"LOS GATOS, CA",,75.00
GIFT CARDS - $120,COUP DE THAI,"LOS GATOS, CA",,100.00
ENDLESS SUMMER ROLLS - REGULAR,COUP DE THAI,"LOS GATOS, CA",,9.90
CHICKS ON A STICK - REGULAR,COUP DE THAI,"LOS GATOS, CA",,12.95
LEGENDARY CALAMARI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,11.90
GARLIC NOODLE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,8.90
TOM KHA GAI SOUP - REGULAR,COUP DE THAI,"LOS GATOS, CA",,8.25
TOM YAM KUNG SOUP - REGULAR,COUP DE THAI,"LOS GATOS, CA",,8.25
PAPAYA POK POK - REGULAR,COUP DE THAI,"LOS GATOS, CA",,14.90
THAI CHICKEN SALAD - REGULAR,COUP DE THAI,"LOS GATOS, CA",,14.85
CHICKEN LETTUCE WRAPS - REGULAR,COUP DE THAI,"LOS GATOS, CA",,13.25
TOFU FESTIVAL - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.90
CRAZY NUTTY PRAWNS - REGULAR,COUP DE THAI,"LOS GATOS, CA",,20.90
SESAME CHICKEN - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.90
SINGAPORE NOODLE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,20.85
SALMON SAMURAI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,25.90
PEN PINEAPPLE FRIED RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,22.90
DUNGENESS CRAB FRIED RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,28.95
PAD THAI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
PAD SEE YOU - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
PAD KEE MAO - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
PAD GRRR POW - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
MONGO MANGO - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
GREEN CURRY - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
YELLOW CURRY - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
SPICY EGGPLANT - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
SAUTEED GREEN BEAN - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
THE REVOLUTION - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
SRIRACHA NOODLE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
KLAUR KING - REGULAR,COUP DE THAI,"LOS GATOS, CA",,16.50
GINGER BEER - 1,COUP DE THAI,"LOS GATOS, CA",,3.00
FIJI WATER - 1,COUP DE THAI,"LOS GATOS, CA",,4.00
THAI ICED COFFEE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,5.00
THAI ICED TEA - REGULAR,COUP DE THAI,"LOS GATOS, CA",,5.00
PERRIER SPARKLING WATER - 1,COUP DE THAI,"LOS GATOS, CA",,4.00
DELIRIUM TREMENS - 1,COUP DE THAI,"LOS GATOS, CA",,9.00
LAGUNA BAJA - 1,COUP DE THAI,"LOS GATOS, CA",,7.00
KIKUSUI JUNMAI GINJO - 1,COUP DE THAI,"LOS GATOS, CA",,20.00
BILLECART-SALMON - 1,COUP DE THAI,"LOS GATOS, CA",,133.00
ADAMI - 1,COUP DE THAI,"LOS GATOS, CA",,41.00
MONT MARCAL - 1,COUP DE THAI,"LOS GATOS, CA",,42.00
CREMANT DE BOURGOGNE - 1,COUP DE THAI,"LOS GATOS, CA",,38.00
EBERLE - 1,COUP DE THAI,"LOS GATOS, CA",,39.00
WEINGUT ROBERT WEIL - 1,COUP DE THAI,"LOS GATOS, CA",,39.00
VENICA - 1,COUP DE THAI,"LOS GATOS, CA",,42.00
PATLAND - 1,COUP DE THAI,"LOS GATOS, CA",,92.00
BROKEN DREAM - 1,COUP DE THAI,"LOS GATOS, CA",,38.00
HUNGRY BLOND - 1,COUP DE THAI,"LOS GATOS, CA",,55.00
TERMINIM - 1,COUP DE THAI,"LOS GATOS, CA",,81.00
HYDE VINEYARD - 1,COUP DE THAI,"LOS GATOS, CA",,45.00
LIQUID FARM - 1,COUP DE THAI,"LOS GATOS, CA",,52.00
TESTAROSA - 1,COUP DE THAI,"LOS GATOS, CA",,54.00
FAILLA - 1,COUP DE THAI,"LOS GATOS, CA",,61.00
FOLKWAY - 1,COUP DE THAI,"LOS GATOS, CA",,60.00
MOON PHASE - 1,COUP DE THAI,"LOS GATOS, CA",,110.00
TURLEY - 1,COUP DE THAI,"LOS GATOS, CA",,57.00
COCHON - 1,COUP DE THAI,"LOS GATOS, CA",,45.00
SPARKMAN - 1,COUP DE THAI,"LOS GATOS, CA",,59.00
GEHRICKE - 1,COUP DE THAI,"LOS GATOS, CA",,126.00
SEXUAL CHOCOLATE - 1,COUP DE THAI,"LOS GATOS, CA",,51.00
VERMILLION - 1,COUP DE THAI,"LOS GATOS, CA",,69.00
CHICKS ON A STICK - REGULAR,COUP DE THAI,"LOS GATOS, CA",,48.00
SIAM SAMOSA - REGULAR,COUP DE THAI,"LOS GATOS, CA",,36.00
GOLDEN T-CUBES - REGULAR,COUP DE THAI,"LOS GATOS, CA",,30.00
GREEN PAPAYA SALAD - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
LARB CHICKEN SALAD - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
BEEF SALAD - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
PAD THAI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
SRIRACHA NOODLES - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
PAD SEE EW - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
GUAY TEOW KUA GAI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
PAD KEE MAO NOODLE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
PEN PINEAPPLE FRIED RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
THE REVOLUTION - REGULAR,COUP DE THAI,"LOS GATOS, CA",,50.00
YELLOW CURRY - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
GREEN CURRY - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
RED CURRY - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
SAUTEED FRESH BASIL - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
GARLIC & PEPPER - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
KOOR-KLING - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
BANGKOK MANGO - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
CRAZY NUTTY CHICKEN - REGULAR,COUP DE THAI,"LOS GATOS, CA",,55.00
TOFU FESTIVAL - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
SPICY EGGPLANT - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
SAUTEED BROCCOLI - REGULAR,COUP DE THAI,"LOS GATOS, CA",,35.00
TOFU BASIL - REGULAR,COUP DE THAI,"LOS GATOS, CA",,45.00
THAI JASMINE RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,3.00
STEAMED JASMINE RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,20.00
STEAMED JASMINE BROWN RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,25.00
PEN PINEAPPLE FRIED RICE - REGULAR,COUP DE THAI,"LOS GATOS, CA",,22.90
