name,restaurant_name,identifier,calories,price_usd
SILVERWARE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,0.00
WOOD–FIRED CHICKEN WINGS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
BUFFALO CAULIFLOWER - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,17.00
COV JUMBO LUMP CRAB CAKE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,25.00
CRISPY CALAMARI FRIES - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
LOBSTER GUACAMOLE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,26.00
GRILLED ARTICHOKES - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,17.00
HOUSE-SMOKED SALMON - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
SMOKED CHICKEN FLATBREAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
ITALIAN SAUSAGE FLATBREAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
NEW ENGLAND CLAM CHOWDER - CUP,COV,"CHOWNOW, WAYZATA, MN",,9.00
NEW ENGLAND CLAM CHOWDER - BOWL,COV,"CHOWNOW, WAYZATA, MN",,17.00
CLASSIC CAESAR SALAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
MELON AND BURRATA CAPRESE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,21.00
BLUE CHEESE WEDGE SALAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
MEDITERRANEAN PLATE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
KALE SALAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,19.00
COV  INCH CHOPPED INCH  SALAD - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
COV BURGER - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,21.00
WALLEYE FISH SANDWICH - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,27.00
LOBSTER ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,28.00
FRENCH DIP AU JUS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,30.00
SPICY CHICKEN SANDWICH - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
TURKEY CRANBERRY SANDWICH - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,19.00
AVOCADO BLT SANDWICH - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,19.00
BABY BACK RIBS - HALF,COV,"CHOWNOW, WAYZATA, MN",,28.00
BABY BACK RIBS - WHOLE,COV,"CHOWNOW, WAYZATA, MN",,38.00
GRILLED HANGER STEAK - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,42.00
FILET MIGNON - 8 OZ,COV,"CHOWNOW, WAYZATA, MN",,50.00
WOOD-GRILLED KING SALMON - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,40.00
WILD MUSHROOM GNOCCHI - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,28.00
CHICKEN PICCATA - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,29.00
ROASTED CAULIFLOWER - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,13.00
ROASTED BABY SQUASH - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,13.00
BRUSSELS SPROUTS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,14.00
GRILLED ASPARAGUS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,11.00
SWEET CORN DIP - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,13.00
TRUFFLE FRIES - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,14.00
CLASSIC JUMBO SHRIMP COCKTAIL - 6 JUMBO SHRIMP,COV,"CHOWNOW, WAYZATA, MN",,25.00
SESAME TUNA - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,28.00
TUNA POKE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,28.00
CEVICHE WITH AGUACHILE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
GRILLED TWIN LOBSTER TAILS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,40.00
GRILLED SPANISH OCTOPUS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,27.00
STEAMED MUSSELS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
KING CALIFORNIA ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,24.00
RAINBOW ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
DRAGON ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
CATERPILLAR ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
SPICY YELLOWTAIL ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
PHILLY ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,20.00
VEGETABLE ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,16.00
CRUNCHY ROLL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,18.00
THE WAYZATA - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,25.00
THE GALLEY - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
THE ANCHORAGE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,24.00
THE FIRECRACKER - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
THE SANDBRIDGE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
THE COMMODORE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,23.00
THE SKYSAIL - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,22.00
THE DRIFTER - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,24.00
SAMMI CAKE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,17.00
BROWNIE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,16.00
TRES LECHES - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,16.00
KEY LIME PIE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,17.00
BANANA CREAM PIE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,15.00
BUTTERED NOODLES - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
MAC & CHEESE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
FLATBREAD - CHEESE,COV,"CHOWNOW, WAYZATA, MN",,12.00
FLATBREAD - PEPPERONI,COV,"CHOWNOW, WAYZATA, MN",,12.00
CHICKEN TENDERS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
BURGER SLIDERS (2) - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
GRILLED CHEESE - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
WALLEYE FINGERS - REGULAR,COV,"CHOWNOW, WAYZATA, MN",,12.00
GIFT CARD - $50 GIFT CARD,COV,"CHOWNOW, WAYZATA, MN",,50.00
GIFT CARD - $75 GIFT CARD,COV,"CHOWNOW, WAYZATA, MN",,75.00
GIFT CARD - $100 GIFT CARD,COV,"CHOWNOW, WAYZATA, MN",,100.00
GIFT CARD - $200 GIFT CARD,COV,"CHOWNOW, WAYZATA, MN",,200.00
