name,restaurant_name,identifier,calories,price_usd
MOZZARELLA STICKS (6) - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,10.00
MACARONI & CHEESE BITES (10) - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,9.00
CHICKEN FINGERS (BONELESS) - HALF ORDER (4) - HALF ORDER,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,8.50
CHICKEN FINGERS (BONELESS) - FULL ORDER (8) - FULL ORDER,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,16.00
WINGS (BONE-IN) | HALF ORDER (4) - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,8.50
WINGS (BONE-IN) | FULL ORDER (8) - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,16.00
5 POUND ORDER OF WINGS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,75.00
5 POUND ORDER OF FINGERS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,75.00
CHICKEN FINGER DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,20.00
CHICKEN WING DINNER (BONE-IN) - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,20.00
CUCKOO'S BUFFALO CHICKEN SALAD | ROOST - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,14.00
1/2 CHICKEN DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,14.00
1/4 CHICKEN DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,12.00
3 LEG DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,12.00
3 THIGH DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,12.00
BANQUET DINNER FOR 4 - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,35.00
CHICKEN FINGER (BONELESS) DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,20.00
CHICKEN WING (BONE-IN) DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,20.00
FISH & CHIPS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,14.00
LIGHT MEAT DINNER - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,12.00
4 PIECE | CHICKEN - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,11.00
BREAST - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,5.00
LEG - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,4.00
THIGH - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,4.00
WHOLE WING - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,2.00
MAC & CHEESE BITES (4) | KIDS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,7.00
FINGERS (3) (BONELESS) | KIDS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,7.00
WINGS (3) (BONE-IN)| KIDS - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,7.00
SIDE OF WING SAUCE - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,1.00
SIDE OF MASHED POTATOES - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,3.00
PINT OF DRESSING - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,4.00
SMALL SIDE OF CUCKOO'S FRENCH FRIES - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,3.00
LARGE ORDER OF CUCKOO'S FRENCH FRIES - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,5.00
PLASTIC CUTLERY? - REGULAR,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,0.00
GIFT CERTIFICATES - CHOOSE DENOMINATION,CUCKOO'S CHICKEN HOUSE,"DURANGO, CO",,0.00
