name,restaurant_name,identifier,calories,price_usd
PRAWNS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,40.30
SCALLOPS PLATTER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,50.70
SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,31.85
SPECIAL PLATTER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,43.55
SHRIMP & OCTOPUS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,37.05
AGUACHILE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,34.45
SCALLOPS WITH AGUACHILE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,43.55
CEVICHE TRIO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
SHRIMP EMPANADAS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
HOT CHILIS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,12.35
GUACAMOLE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,13.00
ZARANDEADO SHRIMPS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,30.55
ROCK SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
TUNA SASHIMI - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,30.55
BOILING SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,28.60
FISH TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.85
SHRIMP TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.85
GOBERNADOR TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.85
MARLIN TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.85
STEAK TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,7.15
DEVIL SHRIMP TACOS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
PROTEIN TACO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.85
GUAMUCHILITO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
GUERRERO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
NORTENO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
CULIACANCITO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
TEMPURA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
KANIKAMA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
QUESITO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
TRES QUESOS ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
MAR Y TIERRA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
"CIELO, MAR Y TIERRA ROLL - REGULAR",CULICHI TOWN,"BELL GARDENS, CA",,20.80
ALIANZA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
CULICHITOWN ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
BELL ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
LUPILLO ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
SPICY ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
CALIFORNIA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,18.20
SPICY TUNA ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
STEAK ROLL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
TOSTADA NAVOLATO - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,27.30
TOSTADA MICHOACANA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,23.40
TOSTADA ALTATA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,23.40
TOSTADA VIP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,23.40
TOSTADA HOT CHEETOS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
TOSTADA COOKED SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
TOSTADA SINALOENSE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
TOSTADA HULK - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
TOSTADA TOSTITOSTADA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,23.40
SIERRA-STYLE CEVICHE TOSTADA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,13.00
SHRIMP COCKTAIL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
SHRIMP & OCTOPUS COCKTAIL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,27.30
CAMPECHANA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,32.50
THE TOWER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,42.90
BLUE COAST SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,26.00
RANCHERO-STYLE SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
CULICHIS SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
BREADED SHRIMPS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
FISH CRACKLINGS - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
ZARANDEADO FISH FILLET - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,22.10
ZARANDEADO SALMON SALAD - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
FRIED FISH - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
GRILLED FISH FILLET - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,19.50
GRILLED STEAK - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,26.00
STEAK & ZARANDEADO SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,27.30
BREADED CHICKEN - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,20.80
CALIFORNIA BURGER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,16.90
CANELO BURGER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,16.90
CULICHI WINGS - 6 WINGS,CULICHI TOWN,"BELL GARDENS, CA",,13.00
CULICHI WINGS - 12 WINGS,CULICHI TOWN,"BELL GARDENS, CA",,22.10
DEVIL SHRIMP - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,24.70
SOY TOSTADA WITH BLACK SAUCE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,13.00
SOY TOSTADA WITH GREEN SAUCE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,13.00
CHEESEBURGER | CULICHI MEAL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,9.10
CHICKEN NUGGETS | CULICHI MEAL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,9.10
FISH TENDERS | CULICHI MEAL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,9.10
QUESADILLA | CULICHI MEAL - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,9.10
BOTTLED WATER - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,2.60
SODA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,3.90
HORCHATA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,3.90
JAMAICA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,3.90
JAZMINE ICED TEA - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,5.20
LEMONADE - REGULAR,CULICHI TOWN,"BELL GARDENS, CA",,3.90
