name,restaurant_name,identifier,calories,price_usd
FEIJOADA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,18.04
BOBO DE CAMARAO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,18.04
FRIED CALAMARI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,10.08
FISH & CHIPS - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,10.08
BREADED PRAWNS (8) - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.60
BUFFALO WINGS (10) - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,9.86
FRIED MOZZARELLA STICK (10) - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,9.65
FRIED JALAPENOS POPPERS (10) - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,9.86
GARLIC BREAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.28
HOUSE GARLIC BREAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,7.39
CHEESE GARLIC BREAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,6.33
CHICKEN NUGGETS - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,6.91
WEDGE-CUT FRIES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.86
GARLIC FRIES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,6.91
FRENCH FRIES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.43
MINESTRONE SOUP - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.86
MEATBALLS - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,4.69
LINGUICA BRASILEIRA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.66
FRANGO A PASSARINHO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.66
FRANGO A PALITO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.66
PICANHA A PALITO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.51
GARDEN SALAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.06
CAESAR SALAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.55
GREEK SALAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.55
ANTIPASTO SALAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,9.39
FRESH SPINACH SALAD - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,7.75
HAMBURGER - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,7.49
CHEESEBURGER - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.02
BACON CHEESEBURGER - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.65
MUSHROOM BURGER - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.65
CLUBHOUSE SANDWICH - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.02
GRILLED CHICKEN BREAST - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.02
MEATBALL SANDWICH - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.02
PARMIGIANA SANDWICH - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,8.28
SMALL CALZONE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,13.61
MEDIUM CALZONE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.04
SMALL CHEESE PIZZA | 6 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.51
MEDIUM CHEESE PIZZA | 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.25
LARGE CHEESE PIZZA | 10 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,18.94
X-LARGE CHEESE PIZZA | 12 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,21.26
CLAMBAKE PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
THE GILROY PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.41
VEGETARIAN SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.89
CHICKEN GARLIC COMBO PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
MISSION SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
HERBS PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
CHICKEN ON THE GREEN PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
SUPREME COMBO PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.05
GREEK GODDESS PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.05
PESTO SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.36
MEAT PIE PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,23.37
HAWAIIAN SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.41
KITCHEN SINK PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,24.95
RANCH SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
SEAFOOD SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.41
MOZZARELLA SPECIAL PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.36
BRAZILIAN STYLE PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.05
MARGHERITA PIZZA | SMALL 6 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,20.20
CLAMBAKE PIZZA | MEDIUM 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.63
THE GILROY PIZZA | MEDIUM 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.31
VEGETARIAN SPECIAL PIZZA | MEDIUM 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.26
CHICKEN GARLIC COMBO PIZZA | MEDIUM 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.63
MISSION SPECIAL PIZZA | MEDIUM 8 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.63
HERBS PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.16
CHICKEN ON THE GREEN PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.63
SUPREME COMBO PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,24.95
GREEK GODDESS PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,24.95
PESTO SPECIAL PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.31
MEAT PIE PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.06
HAWAIIAN SPECIAL PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.31
KITCHEN SINK PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.27
RANCH SPECIAL PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.58
SEAFOOD SPECIAL PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.37
MOZZARELLA SPECIAL PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.31
BRAZILIAN STYLE PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,24.95
MARGHERITE PIZZA | MEDIUM 8 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,22.16
CLAMBAKE PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.74
THE GILROY PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,25.58
VEGETARIAN SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.96
CHICKEN GARLIC COMBO PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.74
MISSION SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.74
HERBS PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.96
CHICKEN ON THE GREEN PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.74
SUPREME COMBO PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.59
GREEK GODDESS PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.64
PESTO SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,25.58
MEAT PIE PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,30.44
HAWAIIAN SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,25.58
KITCHEN SINK PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,32.71
RANCH SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.69
SEAFOOD SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,25.58
MOZZARELLA SPECIAL PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,25.58
BRAZILIAN STYLE PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.64
MARGHERITA PIZZA | LARGE 10 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,26.74
CLAMBAKE PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.64
THE GILROY PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.38
VEGETARIAN SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,29.75
CHICKEN GARLIC COMBO PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
MISSION SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
HERBS PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,29.75
CHICKEN ON THE GREEN PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
SUPREME COMBO PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,31.91
GREEK GODDESS PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,31.49
PESTO SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.38
MEAT PIE PIZZA | X-LARGE 12 SLICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,32.65
HAWAIIAN SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.38
KITCHEN SINK PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
RANCH SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
SEAFOOD SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.38
MOZZARELLA SPECIAL PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,27.38
BRAZILIAN STYLE PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,31.49
MARGHERITA PIZZA | X-LARGE 12 SLICE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,28.70
FETTUCCINE ALFREDO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,13.40
FETTUCCINE WITH SHRIMP - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.61
FETTUCCINE WITH CLAMS - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.61
CHICKEN FETTUCCINE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.61
FETTUCCINE FRUTTI DI MARE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.61
FETTUCCINE PRIMAVERA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.93
SPAGHETTI WITH MEAT SAUCE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,13.82
SPAGHETTI WITH MARINARA SAUCE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,12.77
SPAGHETTI WITH GARLIC - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,12.77
HALF SPAGHETTI & HALF RAVIOLI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.51
HALF SPAGHETTI & HALF TORTELLINI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.51
RAVIOLI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,14.93
TORTELLINI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.14
MEAT LASAGNA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,15.51
BEEF PARMIGIANA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.20
CHICKEN PARMIGIANA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.20
CHICKEN MARSALA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.20
CHICKEN PICATTA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,17.20
BREADED PRAWNS PLATE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.56
FISH & CHIPS PLATE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.35
FRIED CALAMARI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.04
SEAFOOD COMBO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.56
FRIED FISH PLATE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.35
PICANHA TRADICIONAL - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,23.20
BIFE ACEBOLADO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,19.15
FRANGO NA CHAPA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.83
BIFE A MILANESA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.83
FRANGO A MILANESA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.83
PEIXE A MILANESA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.83
LOMBO DE PORCO - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,16.83
CHEESECAKE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.12
CHOCOLATE CAKE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,5.12
FLAN - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,3.85
PASSION FRUIT MOUSSE - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,3.85
ACAI - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,9.65
BRAZILIAN GOURMET JUICES - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,2.16
SODAS - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,1.79
BOTTLED WATER - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,1.69
MONSTER ENERGETIC - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,2.90
2 LITER SODA - REGULAR,CYBELLES PIZZA AND PASTA,"DALY CITY, CA",,3.69
