name,restaurant_name,identifier,calories,price_usd
THICK CUT POTATO CHIPS - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,7.00
SPINACH CON QUESO - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,8.00
CHICKEN FINGERS - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,12.00
PIZZA ROCKEFELLER - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,10.00
OLD SCHOOL NACHOS - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,10.00
FISH & CHIPS - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,13.00
FILET BITES - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,16.00
KID CHEESEBURGER - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,5.00
GRILLED CHEESE - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,5.00
KID'S CHICKEN FINGERS - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,7.00
MAC & CHEESE - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,5.00
PB & J SANDWICH - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,5.00
KIDS SALMON - REGULAR,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,10.00
BAKED POTATO SOUP - CUP,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,4.00
BAKED POTATO SOUP - BOWL,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,6.00
TOMATO BISQUE - CUP,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,4.00
TOMATO BISQUE - BOWL,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,6.00
CHILI - CUP,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,4.00
CHILI - BOWL,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,6.00
SOUP OF THE MOMENT - CUP,DA CRACK MEXICAN GRINDS,"CHOWNOW, KOLOA, HI",,4.00
