name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,0.00
TRADITIONAL DOUGH | MINI SCOOP - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,3.00
TRADITIONAL DOUGH | SINGLE SCOOP - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.25
TRADITIONAL DOUGH | DOUBLE SCOOP - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,7.50
TRADITIONAL DOUGH | TRIPLE SCOOP - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,10.75
TRADITIONAL DOUGH | 4 SCOOPS - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,14.00
TRADITIONAL DOUGH | 5 SCOOPS - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,17.25
TRADITIONAL DOUGH | 6 SCOOPS - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,20.50
KETO DOUGH - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.25
"KETO MUG CAKE (KETO, GLUTEN FREE) - REGULAR",DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.00
GLUTEN FREE VEGAN DOUGH - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.25
"KETO MUG CAKE (KETO, GLUTEN FREE) - REGULAR",DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.00
4 PACK OF COOKIES - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.50
ICING COOKIE SANDWICH - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,4.00
CANNIBAL COOKIE SANDWICH - REGULAR,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,5.00
CANNIBAL COOKIE CRITTER SANDWICH - WHOLE CRITTER,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,6.25
CANNIBAL COOKIE CRITTER SANDWICH - HALF CRITTER,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,3.50
COOKIE AND ICING SPREADERS - 6 PACK,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,15.00
COOKIE AND ICING SPREADERS - 12 PACK,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,28.00
BOXES OF INDIVIDUALLY WRAPPED COOKIES - 6 PACK,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,10.00
BOXES OF INDIVIDUALLY WRAPPED COOKIES - 12 PACK,DEFIANT DOUGH,"CHOWNOW, CHESTERFIELD, MO",,18.00
