name,restaurant_name,identifier,calories,price_usd
RICE & PEAS PLATTER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,4.50
RICE & PEAS PLATTER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.50
RICE & PEAS PLATTER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.50
BROWN STEW SOY CHUNKS - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.00
BROWN STEW SOY CHUNKS - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,11.00
FRIED DUMPLINGS - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,0.75
GREEN SALAD - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.00
GREEN SALAD - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.00
GREEN SALAD - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.00
MACARONI AND CHEESE - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,5.00
MACARONI AND CHEESE - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.00
MACARONI AND CHEESE - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.50
RICE & PEAS - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,4.00
RICE & PEAS - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.00
RICE & PEAS - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.00
WHITE RICE - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,4.00
WHITE RICE - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.00
WHITE RICE - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.00
JERK CHICKEN SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.50
JERK CHICKEN SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,11.00
JERK CHICKEN SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,20.00
CURRY GOAT SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,10.00
CURRY GOAT SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,17.00
CURRY GOAT SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,30.00
STEW BEEF SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,10.00
STEW BEEF SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,17.00
STEW BEEF SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,30.00
PEPPER STEAK SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,10.00
PEPPER STEAK SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,17.00
PEPPER STEAK SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,30.00
OXTAIL SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,11.00
OXTAIL SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,25.00
OXTAIL SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,35.00
COW FOOT SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,11.00
COW FOOT SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,17.00
COW FOOT SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,25.00
STEW CHICKEN SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,6.50
STEW CHICKEN SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,12.00
STEW CHICKEN SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,15.00
CURRY CHICKEN SIDE ORDER - SMALL,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,6.50
CURRY CHICKEN SIDE ORDER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,12.00
CURRY CHICKEN SIDE ORDER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,15.00
ROTI SKIN ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.00
CURRIED GOAT ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.75
CURRY CHICKEN ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.25
STEW BEEF ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.25
OXTAIL ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,12.00
VEGGIE ROTI - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,8.25
BEEF PATTY - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,2.00
CHICKEN PATTY - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,2.00
COCO BREAD - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,1.50
PATTY & COCOBREAD - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.25
HARDO BREAD - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,4.00
WHOLE WHEAT HARDO BREAD - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,4.00
BULLA CAKES - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.50
SPICE BUNS - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.00
SLICED JAMAICAN CHEESE - REGULAR,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,3.00
STEWED CHICKEN DINNER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.75
STEWED CHICKEN DINNER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.50
STEWED BEEF DINNER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.00
STEWED BEEF DINNER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,12.00
CURRY CHICKEN DINNER - MEDIUM,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,7.75
CURRY CHICKEN DINNER - LARGE,DOGLEG CAFE & PIZZA COMPANY,"CHOWNOW, LILLINGTON, NC",,9.50
