name,restaurant_name,identifier,calories,price_usd
31. TACO & ENCHILADA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
32. CHILE RELLENO - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
33. ENCHILADA & TOSTADA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
34. 1 BURRITO - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
35. CHALUPA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
36. 2 TACOS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
37. CHIMICHANGA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
38. AVOCADO TOSTADA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
39. DELUXE TOSTADA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
46. HUEVOS RANCHEROS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
47. CHORIZO CON HUEVOS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
48. SPANISH OMELETTE - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
49. EXPRESO BURRITO - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.25
50. EXPRESO VEGETARIAN - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,7.75
52. CHIMIFLAUTAS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
40. CHICKEN CARNITAS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
41. CARNITAS DE RES - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
42. ARROZ CON POLLO - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
43. CAMARONES MEXICANOS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,9.50
44. FAJITAS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.99
45. POLLO CON CREMA - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
51. DON JUAN SPECIAL BURRITO - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
53. PORK CARNITAS - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
54. MEXICAN STIR FRY - REGULAR,DON PEDRO MEXICAN RESTAURANT,"CHOWNOW, CHARLOTTE, NC",,8.75
