name,restaurant_name,identifier,calories,price_usd
1. THAI EGG ROLLS (3) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,4.99
2. VEGETABLES EGG ROLLS (3) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,4.99
3. EDAMAME - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,4.99
4. CRAB CHEESE WONTON (4) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,5.99
5. SPRING ROLLS (2) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,6.99
6. FRIED TOFU (8) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,6.99
7. STEAMED DUMPLINGS (6) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,6.99
8. VEGGIE-GYOZA (6) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,6.99
9. CHICKEN SATAY (4) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,7.99
10. SHRIMP TEMPURA (5) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,7.99
11. CHICKEN WINGS (6) - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,8.99
12. ESAAN SAUSAGE - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,8.99
13. MONKEY MIX - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,10.99
14. PAPAYA SALAD - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,8.99
15. LARB - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,11.99
16. NAM TOK - REGULAR,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,12.99
17. TOM YUM - 24 OZ.,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,7.99
17. TOM YUM - HOT POT (32 OZ.),DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,13.99
18. TOM KHA - 24 OZ.,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,7.99
18. TOM KHA - HOT POT (32 OZ.),DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,13.99
19. WONTON - 24 OZ.,DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,7.99
19. WONTON - HOT POT (32 OZ.),DRIFTWOOD PIZZERIA,"CHOWNOW, ALPINE, WY",,13.99
