name,restaurant_name,identifier,calories,price_usd
BONE-IN WINGS | 40 WINGS - 40 WINGS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,39.00
BONELESS WINGS - HALF ORDER BONELESS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,9.00
BONELESS WINGS - FULL,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,13.50
BONE-IN WINGS | 6 WINGS - 6 WINGS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,8.00
BONE-IN WINGS | 10 WINGS - 10 WINGS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,12.00
BONE-IN WINGS | 20 WINGS - 20 WINGS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,21.00
BONE-IN WINGS | 30 WINGS - 30 WINGS,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,30.00
MUNCHIN BASKET - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,6.00
GRANDE NACHOS - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,12.00
QUESADILLAS - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,12.00
POTATO SKINS - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,9.00
GRANDE SKINS - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,11.00
RANCH FRIES - HALF ORDER,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,8.00
RANCH FRIES - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,12.00
CHIPS & SALSA - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,6.00
CHEF SALAD - LITTLE CHEF,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,11.00
CHEF SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,13.00
CRANBERRY ALMOND SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,13.00
TACO SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,12.00
ORIENTAL CHICKEN SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,14.00
HOUSE SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,4.00
CAESAR SALAD - HALF SIZE,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,7.00
CAESAR SALAD - REGULAR,DUFFY'S GOOD TIME SALOON - WINDOM,"CHOWNOW, WINDOM, MN",,9.00
