name,restaurant_name,identifier,calories,price_usd
BACON CHEESE FRIES - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,5.99
BREADED MUSHROOMS - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.79
CHICKEN TENDER BASKET - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
FRIED PICKLES - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,5.99
SIGNATURE HOMEMADE SOUP - CUP,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,2.79
SIGNATURE HOMEMADE SOUP - BOWL,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,4.29
BERRY CHICKEN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
CHEF'S SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
CHICKEN AVOCADO SPINACH SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
COTTAGE CHEESE - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,2.99
DINNER SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,3.29
EGGBERT'S HONEY CHICKEN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
GRILLED CHICKEN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
CRISPY FRIED CHICKEN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
MEDITERRANEAN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
STRAWBERRY PECAN SALAD - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
CLASSIC REUBEN SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.29
EGGBERTS SUPREME BLT SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,5.99
FISH SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.79
GRILLED CHICKEN AVOCADO RANCH CLUB SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
HONEY CHICKEN SALAD COMBO - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,8.59
MONTE CRISTO SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.89
PRIME RIB & MUSHROOM MELT - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.59
TURKEY CLUB SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.29
ULTIMATE CHICKEN SANDWICH - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
AMERICAN CLASSIC CHEESEBURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.29
BACON CHEESEBURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.79
EGGBERT'S HOT HAMBURGER DELUXE - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.79
HICKORY BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.99
JALAPENO RANCH BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.49
MUSHROOM SWISS BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.89
PATTY MELT - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.59
PB & J BACON JALAPENO BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.49
PEPPER JACK BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.59
THE HANGOVER BURGER - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,8.59
FRUIT PARFAIT - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,7.99
FRUIT OATMEAL - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,6.79
OATMEAL - REGULAR,EGGBERT'S,"CHOWNOW, INDEPENDENCE, KS",,3.99
