name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,0.00
FLAVORED MARGARITAS TO-GO - 16OZ,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,7.99
FLAVORED MARGARITAS TO-GO - 32OZ,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,13.95
MARGARITAS TO-GO LIME ONLY - 16OZ,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,5.49
MARGARITAS TO-GO LIME ONLY - 32OZ,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,10.95
1 DEEP-FRIED BURRITO - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,5.99
2 DEEP FRIED BURRITOS - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,10.49
3 CHEESE ENCHILADAS - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,8.99
3 ENCHILADAS - REGULAR,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,9.99
BURRITO CALIFORNIA - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,13.99
BURRITO DELUXE - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,9.99
BURRITO GRANDE - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,10.99
BURRITO MOJADO - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,12.99
BURRITOS ACAPULCO - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,11.99
CARNE ASADA - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,13.99
CARNITAS - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,14.99
CHILAQUILES - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,12.99
CHILE ROJO - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,13.99
CHILE VERDE - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,13.99
CHIMICHANGA - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,10.99
CHIMICHANGA | PORK - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,11.99
CHIMICHANGA | SHRIMP - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,12.99
ENCHILADA VERDES - .,EL ACAPULCO,"CHOWNOW, LA GRANGE, KY",,10.49
