name,restaurant_name,identifier,calories,price_usd
BREAKFAST SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,5.25
TOAST OR TOASTED BAGEL - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.00
OATMEAL - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
MUFFIN/SCONE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
POTATO SKINS - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,7.50
CHICKEN TENDERS - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,7.50
CHICKEN ORIENTAL SALAD - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
CHICKEN CAESAR SALAD - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
GARDEN SALAD - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,7.00
CHEF SALAD - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.50
BUFFALO CHICKEN SALAD - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
TURKEY SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
HAM SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
CORNED BEEF SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
EGG SALAD SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
VEGGIE HUMMUS SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.50
TUNA SALAD SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
CHICKEN CURRY SALAD SANDWICH - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.75
CLUBHOUSE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.50
REUBEN - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,10.00
RACHEL - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,10.00
TUNA MELT - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,10.00
GRILLED HAM & CHEESE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.50
GRILLED CHEESE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,7.25
BLT - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
CUBANO - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,10.00
BUFFALO CHICKEN - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,9.75
GRILLED HAWAIIAN - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.75
GRILLED PEAR & SWISS - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.00
SLOPPY JOES - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,8.25
COFFEE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.10
COFFEE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.33
COFFEE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.57
HOT COCOA - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
HOT COCOA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
HOT COCOA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
STEAMERS - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
STEAMERS - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
STEAMERS - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
CHAI LATTE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
CHAI LATTE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
CHAI LATTE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
GREEN TEA LATTE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
GREEN TEA LATTE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
GREEN TEA LATTE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
ADD ESPRESSO SHOT - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,0.75
ESPRESSO - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
ESPRESSO - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
ESPRESSO - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
LATTE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.35
LATTE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.75
LATTE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.20
CAPPUCCINO - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.35
CAPPUCCINO - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.75
CAPPUCCINO - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.20
AMERICANO - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
AMERICANO - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
AMERICANO - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.00
DEPTH CHARGE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
DEPTH CHARGE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.00
DEPTH CHARGE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.25
BREVE - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.90
BREVE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.40
BREVE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
MOCHA - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.75
MOCHA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.10
MOCHA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.45
TURTLE MOCHA - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
TURTLE MOCHA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
TURTLE MOCHA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
COCO LOCO - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
COCO LOCO - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
COCO LOCO - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
WHITE CLOUD - SMALL,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
WHITE CLOUD - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
WHITE CLOUD - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
SODA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,1.50
VITAMIN WATER - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
NAKED JUICE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.75
SAN PELLIGRINO - LEMON,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
SAN PELLIGRINO - BLOOD ORANGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
SAN PELLIGRINO - SPARKLING WATER,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
ITALIAN SODA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.50
ITALIAN SODA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
FRENCH SODA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
FRENCH SODA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.00
COLD PRESS - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,3.50
COLD PRESS - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
EXTRA ESPRESSO SHOT - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,0.50
ICED CHAI LATTE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.35
ICED CHAI LATTE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.70
BLENDED ICED LATTE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
BLENDED ICED LATTE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.25
BLENDED MOCHA - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
BLENDED MOCHA - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.25
SMOOTHIE - MEDIUM,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.50
SMOOTHIE - LARGE,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,5.00
ICE CREAM MALT - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,4.00
ICE CREAM SUNDAE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.75
ICE CREAM CONE - REGULAR,EL CAZADOR,"CHOWNOW, CAROLINA BEACH, NC",,2.25
