name,restaurant_name,identifier,calories,price_usd
CHICKEN STRIPS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,8.99
CHIPS & DIP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,2.29
CHIPS & MOJO MADE SALSA - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,4.49
QUESADILLAS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,10.49
MOJO'S MINI BURGERS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.49
MOZZARELLA CHEESE STICKS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,8.29
NACHOS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
POTATO CHIPS & QUESO - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,5.49
FRIED PICKLE SPEARS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,7.69
ONION RINGS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,7.49
THREE TACOS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,8.79
LOADED FRIES OR TOTS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
CHICKEN GIZZARDS - 1/2 ORDER,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,5.49
CHICKEN GIZZARDS - FULL ORDER,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.49
PRETZEL BITES - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,8.99
CHICKEN CAESAR SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
COBB SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,12.29
TACO SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,10.49
1/2 SANDWICH & SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.29
1/2 SANDWICH & SOUP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.29
B.L.T. - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
FRIED FISH SANDWICH - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
BUFFALO CHICKEN - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
HOT HAM & SWISS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
MOJO MELT - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,10.49
MOJOBAN - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,10.99
MOJO PHILLY - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,13.29
FRENCH DIP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,13.29
CHICKEN CAESAR WRAP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
BUFFALO CHICKEN WRAP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
MAHI WRAP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,10.99
MOJO MELT WRAP - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,9.99
MOJO BURGER - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,12.29
BBQ BACON CHEESEBURGER - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,13.49
POLK COUNTRY BURGER - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,13.79
BOURBON BURGER - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,13.79
FAJITAS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,12.95
AGED CHOICE SIRLOIN - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,15.49
FISH FRY BASKET - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,12.29
CHICKEN STRIP BASKET (4) - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,12.49
FRIED SHRIMP BASKET - 1/2-POUND,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,14.29
FRIED SHRIMP BASKET - 1-POUND,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,21.99
COLESLAW - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
MIXED VEGETABLES - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
SIDE HOUSE SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
SIDE CAESAR SALAD - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
BAKED POTATO - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
FRENCH FRIES - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.99
MACARONI & CHEESE - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.99
FRIED OKRA - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.99
FRESH-FRIED CHIPS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,2.29
CHILI - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,4.49
SOUP OF THE DAY - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,4.49
LOADED BAKED POTATO - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,4.29
TATER TOTS - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.99
BROCCOLI - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,3.29
CREAM IN THE HOLE - REGULAR,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,4.49
WINGS - 5 WINGS,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,8.95
WINGS - 10 WINGS,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,15.95
WINGS - 15 WINGS,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,23.95
WINGS - 25 WINGS,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,32.95
WINGS - 50 WINGS,EL NUEVO SAN JUAN LLC,"CHOWNOW, KINSTON, NC",,59.95
