name,restaurant_name,identifier,calories,price_usd
ASADA & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.99
BACON & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
HAM & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
SAUSAGE & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
PASTRAMI & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
CHORIZO & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
COMBO MEAT & EGG - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,11.75
EGG & CHEESE - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.95
EGG & BEAN - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.95
BURRITO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
COMBO 1 | UNO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,13.25
COMBO 2 | DOS - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,13.75
COMBO 3 | TRES - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,13.75
LA LOCA QUESADILLA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,9.50
NACHOS LOCOS - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.50
SOPE - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.75
TACO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.45
TACO LOCO BOWL - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.50
TORTA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,10.25
VEGGIE BURRITO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,9.50
VEGGIE TACO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.99
BEAN & CHEESE BURRITO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.75
CHIPS & SALSA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,3.50
LETTUCE TACO | SMALLER ITEMS - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.74
NACHOS - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,5.25
QUESADILLA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,5.50
RICE & BEAN BURRITO - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.75
BOTTLE OF SALSA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,5.99
KIDS BOWL - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,4.95
KIDS QUESADILLA - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,3.75
EXTRA SALSA CUPS - 2 OZ. CUP,EL TACO LOCO,"BAKERSFIELD, CA",,0.75
EXTRA SALSA CUPS - 5 OZ. CUP,EL TACO LOCO,"BAKERSFIELD, CA",,1.00
SIDE OF BEANS & RICE - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.50
SIDE OF BEANS - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.50
AGUAS FRESCAS - SMALL,EL TACO LOCO,"BAKERSFIELD, CA",,2.85
AGUAS FRESCAS - MEDIUM,EL TACO LOCO,"BAKERSFIELD, CA",,2.90
AGUAS FRESCAS - LARGE,EL TACO LOCO,"BAKERSFIELD, CA",,3.00
BOTTLED WATER - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.75
COFFEE - SMALL,EL TACO LOCO,"BAKERSFIELD, CA",,2.25
COFFEE - LARGE,EL TACO LOCO,"BAKERSFIELD, CA",,2.50
FOUNTAIN DRINK - SMALL,EL TACO LOCO,"BAKERSFIELD, CA",,2.75
FOUNTAIN DRINK - MEDIUM,EL TACO LOCO,"BAKERSFIELD, CA",,2.85
FOUNTAIN DRINK - LARGE,EL TACO LOCO,"BAKERSFIELD, CA",,2.95
JARRITOS MEXICAN DRINK - REGULAR,EL TACO LOCO,"BAKERSFIELD, CA",,2.95
GOLD PEAK TEA - SMALL,EL TACO LOCO,"BAKERSFIELD, CA",,2.85
GOLD PEAK TEA - MEDIUM,EL TACO LOCO,"BAKERSFIELD, CA",,2.96
GOLD PEAK TEA - LARGE,EL TACO LOCO,"BAKERSFIELD, CA",,3.07
FUZE RASPBERRY TEA - SMALL,EL TACO LOCO,"BAKERSFIELD, CA",,2.75
FUZE RASPBERRY TEA - MEDIUM,EL TACO LOCO,"BAKERSFIELD, CA",,2.85
FUZE RASPBERRY TEA - LARGE,EL TACO LOCO,"BAKERSFIELD, CA",,2.95
