name,restaurant_name,identifier,calories,price_usd
AL PASTOR BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
BARBACOA BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.89
BEAN & CHEESE BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,2.89
BEAN BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,2.39
BISTEC RANCHERO BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.89
CARNE ASADA BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.89
CARNITAS BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
CHICHARRON BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
CHILE COLORADO BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.89
CHILE VERDE BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
COSTILLAS BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
POLLO GUISADO BURRITO - REGULAR,EL CHARRITO,"SALINAS, CA",,3.59
RICE & BEANS - REGULAR,EL CHARRITO,"SALINAS, CA",,2.59
"RICE, BEAN, & CHEESE - REGULAR",EL CHARRITO,"SALINAS, CA",,2.99
AL PASTOR BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
BARBACOA BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,8.19
BISTEC RANCHERO BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,8.19
CARNE ASADA BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,8.19
CARNITAS BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
CHICHARRON BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
CHILE COLORADO BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,8.19
CHILE VERDE BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
COSTILLAS BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
POLLO GUISADO BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,7.59
VEGGIE BOWL - REGULAR,EL CHARRITO,"SALINAS, CA",,6.19
AGUA FRESCA - REGULAR,EL CHARRITO,"SALINAS, CA",,2.49
DASANI WATER 20OZ - REGULAR,EL CHARRITO,"SALINAS, CA",,1.49
DIET COKE 20OZ - REGULAR,EL CHARRITO,"SALINAS, CA",,1.99
FOUNTAIN SODA - REGULAR,EL CHARRITO,"SALINAS, CA",,2.09
JARRITO MANDARIN - REGULAR,EL CHARRITO,"SALINAS, CA",,1.99
SPRITE 20OZ - REGULAR,EL CHARRITO,"SALINAS, CA",,1.99
TOPO CHICO AGUA MINERAL - REGULAR,EL CHARRITO,"SALINAS, CA",,1.99
CHIPS - REGULAR,EL CHARRITO,"SALINAS, CA",,1.69
CHIPS & EL CHARRITO SALSA - REGULAR,EL CHARRITO,"SALINAS, CA",,2.39
CHIPS & GUACAMOLE - REGULAR,EL CHARRITO,"SALINAS, CA",,4.29
