name,restaurant_name,identifier,calories,price_usd
1. POPCORN CHICKEN - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
2. FIVE SPICE ROASTED CHICKEN - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,11.99
3. FIVE SPICE MARINATED BEEF - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,8.99
4. SPICY BEEF TENDON - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,8.99
5. FIVE SPICE MARINATED COMBINATION - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,10.99
6. NANJING SALTED DUCK - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
7. SICHUAN SPICY PORK & SHRIMP WONTON (12) - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,10.99
8. SICHUAN SPICY CHICKEN & SPINACH WONTON (12) - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,10.99
9. SPICY PORK & NAPPA CABBAGE DUMPLING (12) - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,11.99
10. SPICY PORK & CHIVE DUMPLING (12) - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,11.99
11. MARINATED PIG EAR - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,8.99
12. CILANTRO SOYBEAN BEAN NOODLE SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,8.99
13. MARINATED SEAWEED SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,7.99
14. FRESH CUCUMBER SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,7.99
15. CUCUMBER SALAD WITH BLACK FUNGUS - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,7.99
16. ENOKI MUSHROOM SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,7.99
17. XI AN COLD NOODLE - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
18. CHICKEN LETTUCE CUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,12.99
19. SHRIMP LETTUCE CUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,14.99
20. CHINESE CHICKEN SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,11.99
21. CHINESE VEGETARIAN SALAD - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,10.99
1. HOT & SOUR SOUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
2. EGG DROP SOUP WITH SEAWEED - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
3. CHICKEN CORN SOUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,10.99
4. TOMATO EGG DROP SOUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,9.99
5. PORK & SHRIMP WONTON SOUP - REGULAR,EPIC DUMPLING,"SUNNYVALE, CA",,11.99
