name,restaurant_name,identifier,calories,price_usd
SODA BOTTLED - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,2.25
VITAMIN WATER - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,2.75
PERRIER - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,2.25
HONEST-TEA - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,2.50
ZICO - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,3.00
MASH - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,3.00
SODA CAN - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,1.50
SPRING WATER - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,1.35
LENTIL SOUP - 12 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,3.95
LENTIL SOUP - 16 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,4.95
CHICKEN & VEGETABLE WITH RICE SOUP - 12 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,3.95
CHICKEN & VEGETABLE WITH RICE SOUP - 16 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,4.95
GLUTEN-FREE LENTIL SOUP - 12 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,3.95
GLUTEN-FREE LENTIL SOUP - 16 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,4.95
GLUTEN-FREE CHICKEN & VEGETABLE SOUP - 12 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,3.95
GLUTEN-FREE CHICKEN & VEGETABLE SOUP - 16 OZ.,FAT SULLY'S PIZZA,"DENVER, CO",,4.95
FALAFEL SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.45
TURKEY KEBAB SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
CHICKEN KEBAB SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
CHICKPLANT SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,8.45
SHAWARMA SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
SHAWAFEL SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,8.95
CHICKEN BREAST SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
SPICY MEDITERRANEAN CHICKEN BREAST SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
GLUTEN-FREE FALAFEL SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.45
GLUTEN-FREE TURKEY KEBAB SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
GLUTEN-FREE CHICKEN KEBAB SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
GLUTEN-FREE CHICKPLANT SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,8.45
GLUTEN-FREE SHAWARMA SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
GLUTEN-FREE SHAWAFEL SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,8.95
GLUTEN-FREE CHICKEN BREAST SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
GLUTEN-FREE SPICY MEDITERRANEAN CHICKEN BREAST SALAD - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,9.45
TURKEY KEBAB POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.95
FALAFEL POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,5.95
CHICKEN KEBAB POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.95
SHAWARMA POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.95
CHICKPLANT POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,6.95
SHAWAFEL POCKET - REGULAR,FAT SULLY'S PIZZA,"DENVER, CO",,7.45
