name,restaurant_name,identifier,calories,price_usd
QUESO DIP - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,3.99
CHIPS & GUACAMOLE - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,5.25
BEEF TAQUITOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,8.50
CHICKEN TAQUITOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,8.50
MEXICAN SHRIMP COCKTAIL - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,11.99
FIESTA DIP - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,8.99
CHICKEN WINGS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,9.99
BBQ CHICKEN WINGS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,9.99
MEXICAN RICE - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,2.25
BEANS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,2.25
CHICKEN TORTILLA SOUP - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,4.25
BLACK BEAN SOUP - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,4.50
BEEF SOUP - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,4.50
TACO SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,8.25
GUADALAJARA CHICKEN SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,10.50
GRILLED SHRIMP SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,11.99
BORDER SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,10.50
FIESTA SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,11.99
FAJITA SALAD - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,10.95
PICO DE GALLO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,2.00
SOUR CREAM - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,1.50
JALAPENOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,1.50
MIXED VEFETABLES - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,3.00
FRENCH FRIES - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,1.99
MEXICAN MASHED POTATOES - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,2.99
NACHOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,7.25
NACHOS FIESTA GRANDE - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,14.99
FAJITA NACHOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.99
CHEESE QUESADILLA - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,6.59
QUESADILLA - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,8.99
TEXAS FAJITA QUESADILLA - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,14.25
FAJITA QUESADILLA - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.25
TACOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,2.99
TRADITIONAL TACO COMBO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,10.00
FISH TACOS - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,13.50
TACOS DE BRISKET - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,11.50
BURRITO SUPREME - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,9.99
SEAFOOD BURRITO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,13.99
BURRITO RANCHERO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.99
BURRITO DELUXE - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.75
FRONTERA FRIED BORRITO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,13.50
BURRITO AL PASTOR - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.99
BURRITO A LA PARILLA - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,12.99
CARNITAS BURRITO SPECIAL - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,10.99
VEGGIE BURRITO - REGULAR,FIESTA MEXICAN CUISINE,"CHOWNOW, MATTHEWS, NC",,9.25
