name,restaurant_name,identifier,calories,price_usd
GENERAL TSO'S LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.00
AVOCADO TOFU LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,10.00
ORANGE CHICKEN LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.50
THE LIL' BRUCE LEE - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.50
FARMER'S MARKET LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,10.00
CHICKEN PINEAPPLE LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.50
BUILD YOUR OWN LIL' GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.00
AVOCADO TOFU GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,14.00
ORANGE CHICKEN GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,13.50
THE BRUCE LEE - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,13.50
FARMER'S MARKET GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,14.00
CHICKEN PINEAPPLE GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,13.50
GENERAL TSO'S GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,13.00
BUILD YOUR OWN GANGSTER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,13.00
GANGSTER COMBO #1 - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,22.00
GANGSTER COMBO #2 - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,40.00
JACKFRUIT POTSTICKERS (FRIED) - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.00
JACKFRUIT POTSTICKERS (STEAMED) - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,9.00
500ML FIJI WATER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,2.50
LA CROIX - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,2.00
750ML SAN PELLEGRINO - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,3.95
C2O PURE COCONUT WATER - REGULAR,FIRESIDE BBQ,"CHOWNOW, OVERLAND PARK, KS",,3.95
