name,restaurant_name,identifier,calories,price_usd
SUMMER SPECIAL - LAVENDER COLD BREW LATTE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
SUMMER SPECIAL - LAVENDER COLD BREW LATTE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
DRIP COFFEE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,2.50
DRIP COFFEE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.00
COLD BREW - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
COLD BREW - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
LATTE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
LATTE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
CAPPUCCINO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
CAPPUCCINO - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
AMERICANO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
AMERICANO - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
CORTADO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
ESPRESSO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.00
FLAT WHITE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
AU LAIT - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,2.75
AU LAIT - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.25
MOCHA - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
MOCHA - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
CHAI LATTE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
CHAI LATTE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
GOLDEN TURMERIC LATTE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
MATCHA LATTE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
MATCHA LATTE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
LOOSE LEAF TEA - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.25
LOOSE LEAF TEA - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
MACCHIATO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
BABYCCINO - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,2.75
HOT CHOCOLATE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
HOT CHOCOLATE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
RECESS SPARKLING DRINK - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
BLENDED JUICE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
BLENDED JUICE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
FRAPPE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.50
FRAPPE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.00
CHOCOLATE MILK - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.50
CHOCOLATE MILK - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
PERRIER - 330 ML,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,2.25
BUCHABAE COLD BREW KOMBUCHA - BAEBERRY (BLUEBERRY GINGER) 12 OZ.,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.50
BUCHABAE COLD BREW KOMBUCHA - PURPLE KISS (LAVENDER LEMON) 12 OZ.,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.50
BUCHABAE COLD BREW KOMBUCHA - SUNNY BAE (STRAWBERRY GINGER LEMON) 12 OZ.,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,5.50
SUMMER SPECIAL - LAVENDER LEMONADE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.75
SUMMER SPECIAL - LAVENDER LEMONADE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.25
SUMMER SPECIAL - FRESH LEMONADE - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.75
SUMMER SPECIAL - FRESH LEMONADE - LARGE,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.25
CROISSANT - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,3.75
PUMPKIN BREAD - REGULAR,FIRESTARTER BAR AND GRILL,"CHOWNOW, KENT, WA",,4.00
