name,restaurant_name,identifier,calories,price_usd
HOUSE SALAD - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,6.95
CAESAR SALAD - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,7.95
CLASSIC CALZONE - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,8.95
VEGAN CALZONE - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,9.95
SPECIALTY CALZONE - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,12.95
SMALL CHEESE PIZZA - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,11.00
MEDIUM CHEESE PIZZA - MEDIUM,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,16.00
LARGE CHEESE PIZZA - REGULAR,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,21.00
THE HOGWALLOP - PARK SLOPE HOME PIE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE BAYOU BEAST - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,15.95
EARTH MOTHER - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
LARRY TATE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
MR. PINK - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE CBGB - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE DUDE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE MEG - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
TONY CLIFTON - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
V FOR VEGAN - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
VEGAN LARRY TATE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
VEGAN TONY CLIFTON - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE BIRD - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
CLEOPATRA JONES - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE NEWMAN - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
ANIMAL COLLECTIVE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
GRANDMA BESS - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE SHAKEDOWN SLICE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
THE BUCKMINSTER - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,13.95
SUPER VEGAN - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,15.95
BIG MAYBELLE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
THE DIVINE - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
MEAT THE METS - SMALL,FIT BAR SUPERFOOD CAFE,"CHOWNOW, SEATTLE, WA",,14.95
