name,restaurant_name,identifier,calories,price_usd
GREEK SALAD - REGULAR,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,10.25
SIDE SALAD - REGULAR,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,4.25
HOT HAM & SWISS SUB - HOAGIE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,10.00
HOT ITALIAN SUB - HOAGIE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,10.00
RICOTTA & MOZZARELLA CHEESE CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
MEAT DELUXE CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
CHEESE & 2-TOPPINGS CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.00
GREEK CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
VEGGIE CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
DELUXE CALZONE - CALZONE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
MOZZARELLA CHEESE STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,11.00
MEAT DELUXE STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.50
CHEESE & 2-TOPPING STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,13.00
GREEK STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.50
VEGGIE STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.50
DELUXE STROMBOLI - STROMBOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.50
CLASSIC CHEESE PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.50
CLASSIC CHEESE PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
VEGGIE PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.76
VEGGIE PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.75
DELUXE 5-TOPPING PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.75
DELUXE 5-TOPPING PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.75
MURPHY'S PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.75
MURPHY'S PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.75
GREEK PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.75
GREEK PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.75
WHITE PIZZA 10 INCH  - REGULAR,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
WHITE PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.00
MEAT DELUXE PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,14.75
MEAT DELUXE PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.75
PEPPERONI & RICOTTA PIZZA 10 INCH  - SMALL,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.00
PEPPERONI & RICOTTA PIZZA 10 INCH  - GLUTEN-FREE CRUST,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.00
CLASSIC CHEESE PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,15.50
VEGGIE PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.65
DELUXE 5-TOPPING PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.65
MURPHY'S PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.65
GREEK PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.65
WHITE PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,16.50
MEAT DELUXE PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,18.65
PEPPERONI & RICOTTA PIZZA 14 INCH  - LARGE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,17.00
BAKED SPAGHETTI WITH MEATBALLS - SPAGHETTI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
BAKED SPAGHETTI WITH MEAT SAUCE - SPAGHETTI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
BAKED MANICOTTI - MANICOTTI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
BAKED JUMBO CHEESE RAVIOLI - RAVIOLI,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,12.00
HOMEMADE GARLIC ROLLS - 6 PCS.,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,4.50
HOMEMADE GARLIC ROLLS - 12 PCS.,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,6.50
MEATBALLS - MEATBALLS,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,4.00
MARINARA SAUCE - GRAVY,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,2.75
HOMEMADE PIE - PIE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,5.00
CHEESECAKE - CHEESECAKE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,5.00
BROWNIE - BROWNIE,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,3.00
SOFT DRINK - SODA,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,2.00
WATER - WATER,FRENCH BROAD RIVER BREWERY,"CHOWNOW, ASHEVILLE, NC",,2.00
