name,restaurant_name,identifier,calories,price_usd
TACOS!  ~CHICKEN~STEAK~SHRIMP~ - CHICKEN (2),FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,5.00
TACOS!  ~CHICKEN~STEAK~SHRIMP~ - STEAK (2),FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.00
TACOS!  ~CHICKEN~STEAK~SHRIMP~ - SHRIMP (2),FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.00
FAJITA BOWL - $6 SPECIAL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.00
*CHIPOTLE CHICKEN & AVOCADO SANDWICH - LIMITED TIME! - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.00
*CHIPOTLE CHICKEN HOT BOWL- LIMITED TIME! - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
*BBQ CHICKEN HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
CHICKEN HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.95
STEAK HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
SHRIMP HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
EGGS HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.95
TOFU HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.95
VEGGIE HOT BOWL - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.45
*CHIPOTLE CHICKEN & AVOCADO SANDWICH - LIMITED TIME! - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.00
SLIDER - CHICKEN SLIDER - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,3.50
SLIDER - BBQ CHICKEN SLIDER - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,3.50
SLIDER - BUFFALO CHICKEN SLIDER - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,3.50
*SOUTHWEST CHICKEN & AVOCADO SANDWICH- LIMITED TIME! - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
*SOUTHWEST CHICKEN SANDWICH- LIMITED TIME! - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,6.50
*CHICKEN & STEAK SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
*CHIPOTLE CHICKEN HOT WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
*CHICKEN TIKKA MASALA HOT WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,7.50
GRILLED CHICKEN & AVOCADO PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
SLIDER - CHEESEBURGER SLIDER SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,4.95
TURKEY AND BASIL PESTO PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
*BUFFALO CHICKEN PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
*CHICKEN TIKKA MASALA PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
TURKEY AND AVOCADO PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
STEAK PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
SHRIMP AND AVOCADO PANINI - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
VEGGIE PANINI SANDWICH - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,9.95
SOUTHWEST CHICKEN WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
CHICKEN COBB WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.95
GREEK SALAD WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.95
BBQ CHICKEN WRAP - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
GRILLED CHICKEN WRAP (DESIGN YOUR OWN WRAP) - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
SOUTHWEST CHICKEN SALAD - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
SOUTHWEST CHICKEN SALAD - LARGE,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,13.95
CHICKEN COBB SALAD - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.95
CHICKEN COBB SALAD - LARGE,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,14.45
GRILLED CHICKEN SALAD (DESIGN YOUR OWN SALAD) - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,12.45
GRILLED CHICKEN SALAD (DESIGN YOUR OWN SALAD) - LARGE,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,13.95
GREEK SALAD - REGULAR,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,11.95
GREEK SALAD - LARGE,FRESH MILLIONS RESTAURANT,"SAN RAMON, CA",,13.95
