name,restaurant_name,identifier,calories,price_usd
SAMPLE PLATTER - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
HOMEMADE FRIED OR SAUTEED MUSHROOMS - HALF ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,4.00
HOMEMADE FRIED OR SAUTEED MUSHROOMS - FULL ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,7.00
HOMEMADE CURLY CHIPS - HALF ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,4.00
HOMEMADE CURLY CHIPS - FULL ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,6.00
GARLIC BREAD BASKET - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,3.00
ORIGINAL OR BEER BATTERED ONION RINGS - HALF ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,4.00
ORIGINAL OR BEER BATTERED ONION RINGS - FULL ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,7.00
CHICKEN TENDERS - HALF ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,5.00
CHICKEN TENDERS - FULL ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,8.00
MOZZARELLA CHEESE STICKS - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,7.00
HOMEMADE FRIED PICKLES - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,6.00
HOMEMADE FRIED PICKLES - HALF ORDER,FROSTEES,"CHOWNOW, POPLAR, MT",,4.00
FRIECRACKER SHRIMP - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,9.00
CHIPS & SALSA - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,5.00
REDNECK FRIES - BBQ PORK,FROSTEES,"CHOWNOW, POPLAR, MT",,10.00
REDNECK FRIES - BRISKET,FROSTEES,"CHOWNOW, POPLAR, MT",,12.00
REDNECK FRIES - CHICKEN,FROSTEES,"CHOWNOW, POPLAR, MT",,10.00
REDNECK NACHO'S - BBQ PORK,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
REDNECK NACHO'S - BRISKET,FROSTEES,"CHOWNOW, POPLAR, MT",,13.00
REDNECK NACHO'S - CHICKEN,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
WORLD'S GREATEST BUFFALO WINGS - 10 PCS.,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
WORLD'S GREATEST BUFFALO WINGS - 15 PCS.,FROSTEES,"CHOWNOW, POPLAR, MT",,15.00
WORLD'S GREATEST BUFFALO WINGS - 25 PCS.,FROSTEES,"CHOWNOW, POPLAR, MT",,25.00
WORLD'S GREATEST BUFFALO WINGS - 50 PCS,FROSTEES,"CHOWNOW, POPLAR, MT",,47.00
3 PORK CHOPS - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
BBQ PORK SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,9.00
BBQ CHICKEN SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,10.00
LANCASTER COBB SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,10.00
MAUI CHICKEN SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
CHICKEN TENDER SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,11.00
HOUSE SALAD - REGULAR,FROSTEES,"CHOWNOW, POPLAR, MT",,4.00
