name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.00
BLEU CHEESE - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.50
AMERICAN BBQ - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.50
BUFFALO - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.50
KETCHUP - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.00
RANCH - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.50
SOY SAUCE - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,0.00
FUSION ORIGINAL EGG ROLLS (3) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
VEGETABLE EGG ROLLS (6) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
POT STICKERS (6) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
POPCORN CHICKEN - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
JUMBO FRIED SHRIMP (4) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
GARLIC PARMESAN FRIES - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
FOIL WRAPPED CHICKEN (8) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
FRIED FISH (4) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
6 PIECE WINGS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,7.00
12 PIECE WINGS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,14.00
24 PIECE WINGS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,26.00
48 PIECE WINGS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,48.00
CHOW FUN (BEEF OR CHICKEN) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,10.00
CHOW MEIN - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,10.00
FRIED RICE - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,10.00
ORANGE CHICKEN - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,11.00
TERIYAKI CHICKEN - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,11.00
KUNG PAO (BEEF OR CHICKEN) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,11.00
BROCCOLI (BEEF OR CHICKEN) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,11.00
KUNG PAO SHRIMP - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,13.00
SALT & PEPPER SHRIMP - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,13.00
CAJUN SHRIMP (WET) - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,13.00
SWEET & SPICY SHRIMP - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,13.00
MILK TEA - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
ICED TEA - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
COLD BREW COFFEE - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
FOUNTAIN DRINK - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,3.00
SMARTWATER - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,3.00
SEASONED FRIES - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
SEASONED TATER TOTS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
FRIED ZUCCHINIS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
ONIONS RINGS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
PRAWN CHIPS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
SALTED EDAMAME - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
CELERY & CARROTS STICKS - REGULAR,FUSION WINGS,"MONTEBELLO, CA",,4.00
