name,restaurant_name,identifier,calories,price_usd
BEEF TATAKI - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,15.00
GUACAMOLE TUNA - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,14.95
NARUTO FANTASY - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,10.75
SASHIMI APPETIZER - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,11.95
SEARED SESAME TORO* - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,16.95
SPICY KAPPA HAND ROLL - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,8.95
TUNA TATAKI - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,12.95
KINUTA - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,9.50
DRAGON EYE - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,10.95
NAMA HARU MAKI - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,10.25
SEAWEED SALAD - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,6.95
AVOCADO SALAD - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,8.00
SPICY TUNA SALAD - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,10.50
ORGANIC SALAD - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,6.50
MISO SOUP - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,3.25
TOM YUM SOUP - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,6.25
DONBURI - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,21.95
FISH LOVER PLATE - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,18.95
SASHIMI PLATE - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,30.95
SUSHI PLATE - REGULAR,GARI JAPANESE FUSION BISTRO,"CHOWNOW, NEEDHAM, MA",,25.95
