name,restaurant_name,identifier,calories,price_usd
5 FRIED BONE-IN WINGZ - REGULAR,GCDC,"WASHINGTON, DC",,6.99
CHEEZBURGER - REGULAR,GCDC,"WASHINGTON, DC",,7.49
HAMBURGER - REGULAR,GCDC,"WASHINGTON, DC",,6.99
MIXED GREEN SALAD WITH CHICKEN - REGULAR,GCDC,"WASHINGTON, DC",,7.49
MIXED GREEN SALAD WITH STEAK - REGULAR,GCDC,"WASHINGTON, DC",,7.99
BONELESS WINGS (6) - REGULAR,GCDC,"WASHINGTON, DC",,5.99
BONELESS WINGS (12) - REGULAR,GCDC,"WASHINGTON, DC",,10.99
BONELESS WINGS (18) - REGULAR,GCDC,"WASHINGTON, DC",,15.99
TENDERZ WINGS - 3 PIECES,GCDC,"WASHINGTON, DC",,5.99
TENDERZ WINGS - 6 PIECES,GCDC,"WASHINGTON, DC",,10.99
TENDERZ WINGS - 9 PIECES,GCDC,"WASHINGTON, DC",,15.99
THE TAILGATE | 100 WINGS - REGULAR,GCDC,"WASHINGTON, DC",,85.00
THE TAILGATE | 50 WINGS - REGULAR,GCDC,"WASHINGTON, DC",,45.00
BONE-IN WINGS (6) - REGULAR,GCDC,"WASHINGTON, DC",,5.99
BONE-IN WINGS (12) - REGULAR,GCDC,"WASHINGTON, DC",,10.99
BONE-IN WINGS (18) - REGULAR,GCDC,"WASHINGTON, DC",,15.99
VEGGIE WRAP - REGULAR,GCDC,"WASHINGTON, DC",,7.99
CHICKEN WRAP - REGULAR,GCDC,"WASHINGTON, DC",,7.99
STEAK WRAPS - REGULAR,GCDC,"WASHINGTON, DC",,8.99
MIXED GREEN SALAD - REGULAR,GCDC,"WASHINGTON, DC",,6.99
MIXED GREEN SALAD WITH CHICKEN - REGULAR,GCDC,"WASHINGTON, DC",,7.99
MIXED GREEN SALAD WITH STEAK - REGULAR,GCDC,"WASHINGTON, DC",,8.99
TENDERLOIN SANDWICH - REGULAR,GCDC,"WASHINGTON, DC",,8.99
FISH SANDWICH - REGULAR,GCDC,"WASHINGTON, DC",,9.99
CHICKEN SANDWICH - REGULAR,GCDC,"WASHINGTON, DC",,7.99
CHICKEN SANDWICH WITH CHEEZ - REGULAR,GCDC,"WASHINGTON, DC",,8.49
ORIGINAL PHILLY CHEEZSTEAK - REGULAR,GCDC,"WASHINGTON, DC",,9.99
CHICKEN PHILLY CHEEZSTEAK - REGULAR,GCDC,"WASHINGTON, DC",,8.99
CHICKEN PO'BOY - REGULAR,GCDC,"WASHINGTON, DC",,8.99
SHRIMP PO'BOY - REGULAR,GCDC,"WASHINGTON, DC",,9.99
BLT - REGULAR,GCDC,"WASHINGTON, DC",,8.99
GRILLED CHEEZ SANDWICH - REGULAR,GCDC,"WASHINGTON, DC",,5.99
GRILLED PB&J SANDWICH - REGULAR,GCDC,"WASHINGTON, DC",,5.99
1/3 LB BURGER - REGULAR,GCDC,"WASHINGTON, DC",,7.99
DOUBLE BURGER - REGULAR,GCDC,"WASHINGTON, DC",,10.99
