name,restaurant_name,identifier,calories,price_usd
SOUP OF THE DAY - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,8.00
SAN PELLEGRINO LIMONATA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,3.00
SAN PELLEGRINO ARANCIATA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,3.00
SAN PELLEGRINO 750ML - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,7.00
SODA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,2.50
AMSTEL LIGHT - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
CLAUSTHALER NON ALCOHOLIC - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
LION STOUT - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
DRY CIDER - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
MONTAUK SUMMER ALE BEER - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
POLPETINI - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,8.00
FRIED CALAMARI - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,11.00
CALAMARI - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,11.00
VINE RIPE TOMATOES AND BASIL - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
"WHITE BEANS, ROASTED GARLIC AND PECORINO - REGULAR",GIACOMO'S DELI,"NORWALK, CT",,4.00
HOUSE SALAD - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,8.00
CENT'ANNI CAESAR SALAD - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,12.00
TAGLIATELLE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,17.00
PAPPARDELLE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,17.00
GNOCCHI - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,17.00
RIGATONI - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,15.00
ORECCHIETTE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,14.00
PENNE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,12.00
SPAGHETTI AL LIMONE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,13.00
SPAGHETTI AND MEATBALLS - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,15.00
CHICKEN PARMIGIANA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,18.00
PENNE ALA VODKA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,13.00
SALMON - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,19.00
ROASTED ROSEMARY CHICKEN - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,18.00
TAGILATA TOSCANO - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,20.00
STRING BEANS SAUTEED WITH GARLIC AND OIL - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
BROCCOLI SAUTEED WITH GARLIC AND OIL - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
MASHED POTATOES - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
KID'S SPAGHETTI AND MEATBALLS - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,7.00
KID'S CHICKEN PARMIGIANA - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,8.00
$25 GIFT CERTIFICATE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,25.00
$50 GIFT CERTIFICATE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,50.00
$100 GIFT CERTIFICATE - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,100.00
AMSTEL LIGHT - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,4.00
CITY ROOTS CIDER - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
LION STOUT - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
CLAUSTHALER BEER - REGULAR,GIACOMO'S DELI,"NORWALK, CT",,6.00
