name,restaurant_name,identifier,calories,price_usd
BEEF SHAWARMA WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,9.99
CHICKEN SHAWARMA WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,8.99
FALAFEL WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,6.99
ROTISSERIE CHICKEN WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,6.99
GYRO WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,8.99
KEBAB WRAP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,12.99
BEEF SHAWARMA WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,12.98
CHICKEN SHAWARMA WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,11.98
FALAFEL WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,9.98
ROTISSERIE CHICKEN WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,9.98
KEBAB WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,15.98
GYRO WRAP COMBO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,11.98
12 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
6 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,8.99
9 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,10.99
24 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,26.99
WHOLE CHICKEN - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
HALF CHICKEN PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
WHOLE CHICKEN PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,19.99
BEEF SHAWARMA PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
CHICKEN KABOB PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
CHICKEN SHAWARMA PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,12.99
FALAFEL PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,10.99
KUFTAH KABOB PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,13.99
MIX KABOB PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,16.99
SHISH KABOB PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,14.99
GYRO PLATE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,12.99
LOADED FRIES - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,11.99
BABA GHANOUSH - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,6.99
BASMATI RICE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,4.99
FALAFEL 6PC - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,3.99
FRIES - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,2.99
HUMMUS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,6.99
KIBBEH - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,8.99
LENTIL SOUP - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,3.99
APPETIZER TRAY - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,14.99
SPICY HUMMUS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,7.99
GARLIC SAUCE - LARGE,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,2.99
GARLIC SAUCE - SMALL,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.50
SPICY GARLIC SAUCE - LARGE,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,3.99
SPICY GARLIC SAUCE - SMALL,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.75
TAHINI SAUCE - LARGE,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,1.49
TAHINI SAUCE - SMALL,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.50
TZATZIKI SAUCE - LARGE,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,1.49
TZATZIKI SAUCE - SMALL,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.50
CHEESE - LARGE,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.99
CHEESE - SMALL,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,0.50
FATOOSH SALAD - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,9.99
GARDEN SALAD - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,7.99
TABOULEH SALAD - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,6.99
BAKLAVA - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,3.99
FOUNTAIN SODA - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,1.49
LEMON MINT - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,3.99
ICED TEA - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,1.49
CHICKEN SHAWARMA - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,79.99
ROTISSERIE CHICKEN - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,69.99
GYRO - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,74.99
BEEF SHAWARMA - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,89.99
FALAFEL - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,69.99
KEBAB TRAY - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,84.99
36 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,39.99
72 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,79.99
48 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,51.99
96 PIECE WINGS - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,99.99
TABOULEH TRAY - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,24.99
TABOULEH BOWL - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,14.99
GARDEN SALAD TRAY - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,19.99
FATOOSH TRAY - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,21.99
3 WHOLE CHICKENS & FRIES - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,47.99
4 WHOLE CHICKENS & RICE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,72.99
5 WHOLE CHICKENS & RICE - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,89.99
HUMMUS BOWL - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,19.99
SPICY HUMMUS BOWL - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,21.99
BABA GHANOUSH BOWL - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,19.99
FALAFEL 36PC - REGULAR,GOLDEN CHICKEN,"CHOWNOW, SAINT PETERS, MO",,19.99
