name,restaurant_name,identifier,calories,price_usd
KID'S QUESADILLA - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
CHICKEN TENDERS WITH FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
HOT DOG WITH FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,3.99
GRILLED CHEESE WITH FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
BURGER WITH FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
TEXAS CHILI WITH CHEESE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
ONION RINGS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.50
MOZZARELLA STICKS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
BREADED MUSHROOMS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
PIEROGIES (6) WITH FRIED ONIONS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
GARLIC BREAD WITH MOZZARELLA CHEESE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,3.50
CURLY FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,3.99
"FRIES WITH CHEESE, GRAVY, CHILI, OR CAJUN - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.50
FRIES WITH MOZZARELLA & GRAVY - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.50
SWEET POTATO FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.50
JALAPEÑO POPPERS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.50
LOADED FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.50
EMPANADAS - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,1.50
4 PIECE CHICKEN TENDERS WITH FRIES - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
HOT DOG - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.25
HOT DOG WITH SAUERKRAUT OR RELISH - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.75
HOT DOG WITH CHEESE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.99
TEXAS WIENERS WITH CHILI SAUCE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.99
"SPECIAL WIENERS WITH CHILI SAUCE, CHEESE, & BACON - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
ITALIAN DOG - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
"TEX-MEX DOG WITH SAUTÉED TOMATO, ONION, & JALAPEÑO - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,2.99
"GRILLED CHICKEN WITH LETTUCE, TOMATO & MAYO - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.50
"BUFFALO, BBQ, TERIYAKI, OR CAJUN GRILLED CHICKEN - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
MESQUITE GRILLED CHICKEN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
CHICKEN MAMBO - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
CHICKEN MARSALA SANDWICH - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
"FRIED CHICKEN CUTLET WITH LETTUCE, TOMATO, & MAYO - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,7.49
CHICKEN PARMIGIANA SANDWICH - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
PHILLY CHEESESTEAK - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
RIB EYE STEAK - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,10.99
TEX-MEX SLICED STEAK - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.99
BBQ PULLED PORK - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
HOT ROAST BEEF WITH GRAVY OR DISCO (MOZZARELLA & GRAVY) - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
MEATBALL PARMESAN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.00
RIBEYE & BROCCOLI RABE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,12.99
GYRO - BEEF OR CHICKEN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.50
FAJITA - STEAK OR CHICKEN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,7.49
STEAK CALLAHAN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
SLOPPY RUSSIAN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
CUBAN SANDWICH - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
HOT TURKEY WITH GRAVY - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
FLOUNDER FISH SANDWICH - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.50
HOT PASTRAMI - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.25
THE BLT - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.50
TAYLOR HAM & CHEESE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,3.99
GRILLED CHEESE - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,3.50
GRILLED CHEESE WITH TOMATO OR BACON - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.50
TUNA OR CHICKEN MELT - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.50
PASTRAMI REUBEN - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
"POTATO, PEPPER & ONION & EGG SANDWICH - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
"SAUSAGE, PEPPERS, & ONIONS SANDWICH - REGULAR",GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
GARDEN SALAD - SMALL,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.50
GARDEN SALAD - LARGE,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
CAESAR SALAD - SMALL,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,4.99
CAESAR SALAD - LARGE,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.50
GREEK SALAD - SMALL,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,5.99
GREEK SALAD - LARGE,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
CHEF SALAD - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.50
TACO SALAD - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,8.50
NUTTY BERRY SALAD - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,10.00
CHEESE QUESADILLA - REGULAR,GOLDEN HOUSE,"CHOWNOW, MUKILTEO, WA",,6.99
