name,restaurant_name,identifier,calories,price_usd
CLASSIC CHEESE PIZZA | 12 INCH  - REGULAR,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,10.95
CLASSIC CHEESE PIZZA | 16 INCH  - REGULAR,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,13.95
CLASSIC CHEESE PIZZA | 18 INCH  - REGULAR,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,16.95
SUPER GOOMBA - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"SUPER GOOMBA - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,16.95
"SUPER GOOMBA - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
"SUPER GOOMBA - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,23.95
GRINDHOUSE - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"GRINDHOUSE - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,16.95
"GRINDHOUSE - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
"GRINDHOUSE - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,23.95
GOOMBA SPICY ISLAND - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"GOOMBA SPICY ISLAND - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
"GOOMBA SPICY ISLAND - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,20.95
"GOOMBA SPICY ISLAND - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,22.95
MEATBALL PARMESAN - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"MEATBALL PARMESAN - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,14.95
"MEATBALL PARMESAN - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,19.95
"MEATBALL PARMESAN - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
THE INFERNO - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"THE INFERNO - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
"THE INFERNO - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,20.95
"THE INFERNO - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,22.95
SOPHIA MIA - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"SOPHIA MIA - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,16.95
"SOPHIA MIA - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
"SOPHIA MIA - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,23.95
CHEESY GOOMBA - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"CHEESY GOOMBA - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
"CHEESY GOOMBA - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,20.95
"CHEESY GOOMBA - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,22.95
GARDEN CITY - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"GARDEN CITY - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
"GARDEN CITY - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,20.95
"GARDEN CITY - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,22.95
VITA BELLA - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"VITA BELLA - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,14.95
"VITA BELLA - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,19.95
"VITA BELLA - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
WISE GUY - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"WISE GUY - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,14.95
"WISE GUY - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,19.95
"WISE GUY - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
KICKIN' WING - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"KICKIN' WING - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,14.95
"KICKIN' WING - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,19.95
"KICKIN' WING - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,21.95
ROAD HOUSE - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"ROAD HOUSE - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
"ROAD HOUSE - 16""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,20.95
"ROAD HOUSE - 18""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,22.95
GAME OVER - CALZONE,GOOMBAS PIZZA GRINDER,"ARVADA, CO",,12.95
"GAME OVER - 12""",GOOMBAS PIZZA GRINDER,"ARVADA, CO",,15.95
