name,restaurant_name,identifier,calories,price_usd
GP CHICKEN BITES - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.95
PULLED PORK SLIDERS (2) - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,7.95
LOADED TOTS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,8.95
HOUSE SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.50
WESTERN BLACKENED CHICKEN SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,11.95
VERNON STREET CHICKEN - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,11.95
GOOSE PORT BURGER - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.95
DOWNTOWN BURGER - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,15.95
MUSHROOM & SWISS BURGER - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,13.95
STREET TACO'S - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,10.95
3 GP BEEF SLIDERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
3 GP CHICKEN BITE SLIDERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
3 PULLED PORK SLIDERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
TORRESMOS DE VINHA D'AHLOS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,14.00
GP DRAFT BEER 32OZ BOTA - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,0.00
DOMESTIC DRAFT - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.00
REVISION HAZY LIFE DIPA CAN - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.50
GP MAITAI TO-GO! - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,10.50
LONG ISLAND ICE TEA - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
JALAPEÑO MARGARITA - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
ANTHONY'S OLD FASHIONED - EA,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.00
FOUNTAIN DRINK - 16OZ,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.50
CAN COKE - CAN,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,3.00
CAN SPRITE - CAN,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,3.00
DIAMOND CREEK ELEMENTARY - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,0.00
BEEF SLIDERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,8.95
