name,restaurant_name,identifier,calories,price_usd
CHICKEN TATSUTAAGE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
CRISPY GARLIC TOFU - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
EDAMAME - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,4.99
MISO SOUP - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.99
SHISHITO PEPPERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
TEMPURA MIX - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
WHITE RICE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.00
PAN FRIED DUMPLINGS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.99
CALAMARI TENTACLES - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
WHITE TRUFFLE FRIES - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
BROWN RICE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.00
CHEESY WONTONS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,6.99
HAMACHI KAMA - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.99
CALPICO - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.75
SODA - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,2.99
WINE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,0.00
SAKE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,0.00
BEERS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,0.00
HOUSE SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.99
PICKLED VEGETABLES - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.99
SEAWEED SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.75
SASHIMI SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,12.99
SQUID CUCUMBER SALAD - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.99
SALMON CARPACCIO - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,11.99
HONEY YUZU YELLOWTAIL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,11.99
COMBO (8PC) - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,15.99
SASHIMI - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,10.99
PRIME PLATE - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,39.99
BELLY SAMPLER - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,19.99
HANDROLLS - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.50
AMBER ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.99
CALIFORNIA ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.50
CATERPILLAR ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,8.99
CRUNCHY ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,7.99
DRAGON ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.99
DYNAMITE ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.99
HAWAIIAN ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,9.99
HOSOMAKI ROLL - REGULAR,GOOSE PORT PUBLIC HOUSE,"ROSEVILLE, CA",,5.50
