name,restaurant_name,identifier,calories,price_usd
JOJO'S - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,2.99
JOJO'S - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.99
FRENCH FRIES - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.49
JALAPENO POPPERS - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.99
LOADED FRENCH FRIES - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.99
BREADED MUSHROOMS - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.99
ONION RINGS - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.49
CHEESE STICKS - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
PLAIN BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
PLAIN BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
PARMESAN GARLIC BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
PARMESAN GARLIC BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
SPICY GARLIC BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
SPICY GARLIC BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
HONEY MUSTARD BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
HONEY MUSTARD BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
BBQ BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
BBQ BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
MILD BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
MILD BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
HOT BONELESS WINGS - SIX PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.49
HOT BONELESS WINGS - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.99
TOSSED SALAD - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.99
GARDEN SALAD - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.99
CHEF SALAD - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,6.49
CRISPY CHICKEN SALAD - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,6.49
ITALIAN SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
ITALIAN SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
STEAK SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
STEAK SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
HAM AND CHEESE SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
HAM AND CHEESE SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
MEATBALL SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
MEATBALL SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
FISH SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
FISH SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
CRISPY CHICKEN SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
CRISPY CHICKEN SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
PIZZA SUB - HALF SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.50
PIZZA SUB - WHOLE SUB,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.00
CHEESE PIZZA (MINI) - MINI (4 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.00
THE GOURMET PIZZA (MINI) - MINI (4 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.50
MEATLESS GOURMET PIZZA (MINI) - MINI (4 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
MEATY GOURMET PIZZA (MINI) - MINI (4 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
CHEESE PIZZA (SMALL) - SMALL (6 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,6.50
THE GOURMET PIZZA (SMALL) - SMALL (6 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,10.00
MEATLESS GOURMET PIZZA (SMALL) - SMALL (6 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,10.00
MEATY GOURMET PIZZA (SMALL) - SMALL (6 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,10.00
CHEESE PIZZA (MEDIUM) - MEDIUM (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,8.50
THE GOURMET PIZZA (MEDIUM) - MEDIUM (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,12.50
MEATLESS GOURMET PIZZA (MEDIUM) - MEDIUM (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,12.75
MEATY GOURMET PIZZA (MEDIUM) - MEDIUM (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,13.75
CHEESE PIZZA (LARGE) - LARGE (12 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,10.50
THE GOURMET PIZZA (LARGE) - LARGE (12 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,15.75
MEATLESS GOURMET PIZZA (LARGE) - LARGE (12 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,15.75
MEATY GOURMET PIZZA (LARGE) - LARGE (12 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,16.25
CHEESE PIZZA (DEEP-DISH - DEEP-DISH (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,9.00
THE GOURMET PIZZA (DEEP-DISH) - DEEP-DISH (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,13.75
MEATLESS GOURMET PIZZA (DEEP-DISH) - DEEP-DISH (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,12.75
MEATY GOURMET PIZZA (DEEP-DISH) - DEEP-DISH (8 SLICES),GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,13.25
BREAST - ONE PIECE,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,2.64
THIGH - ONE PIECE,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,1.40
LEG - ONE PIECE,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,1.40
WING - ONE PIECE,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,1.40
TWO-PIECE FRIED CHICKEN DINNER - 2 PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.99
THREE-PIECE FRIED CHICKEN DINNER - 3 PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,6.49
FOUR-PIECE FRIED CHICKEN DINNER - 4 PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.49
SNACK BOX: SIX PLAIN WINGS AND JOJO'S - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.99
SNACK BOX: SIX WINGS AND JOJO'S - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,7.99
EIGHT-PIECE BUCKET - EIGHT PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,12.99
TWELVE-PIECE BUCKET - TWELVE PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,16.99
SIXTEEN PIECE BUCKET - SIXTEEN PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,20.99
TWENTY-PIECE BUCKET - 20 PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,24.99
TWENTY-FOUR PIECE BUCKET - 24 PIECES,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,29.99
FRENCH BREAD PIZZA - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.00
PEPPERONI ROLL - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
STROMBOLI - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
BREAD STICKS - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,3.99
PIZZA WRAP - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
MEATBALL STROMBOLI - REGULAR,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,5.25
GARLIC BREAD (HALF LOAF) - HALF LOAF,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,2.50
GARLIC BREAD (FULL LOAF) - FULL LOAF,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,4.00
RIGATONI (HALF TRAY) - FULL TRAY,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,19.99
RIGATONI (FULL TRAY) - FULL TRAY,GOURMET PIE & CAFE,"LOS ALAMITOS, CA",,33.00
