name,restaurant_name,identifier,calories,price_usd
SEAFOOD DELIGHT - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,27.55
SHRIMP & SCALLOPS - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,22.95
GREAT WALL CRISPY SCALLOPS - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,24.95
GREAT WALL BLACK PEPPER SCALLOPS - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,24.95
SOFT SHELL CRAB - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,21.95
GREAT WALL CRISPY SHRIMP - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,17.95
FANTASY SHRIMP - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,17.95
ASPARAGUS TWIN DELIGHT - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,21.95
CHICKEN & SHRIMP SUPREME - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,17.95
GREAT WALL SPECIAL TRIO - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,17.95
FOUR HAPPINESS - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,18.95
GREAT WALL BLACK PEPPER STEAK - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,23.95
KINGS TOFU - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,15.95
GREAT WALL TRIPLE DELIGHT - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,17.95
CRISPY SESAME TOFU - REGULAR,GREAT WALL OF CHINA SOUTH,"CHOWNOW, CHARLOTTE, NC",,12.95
