name,restaurant_name,identifier,calories,price_usd
POTATO CHIPS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,6.95
SWEET POTATO FRIES - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,6.50
SLIDERS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
BBQ CHICKEN QUESADILLA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.95
CHICKEN AND PAPAYA QUESADILLA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
CORN CHOWDER SOUP - CUP,GREEN STREET RESTAURANT,"PASADENA, CA",,5.95
CORN CHOWDER SOUP - BOWL,GREEN STREET RESTAURANT,"PASADENA, CA",,8.95
NACHOS - MINI NACHOS,GREEN STREET RESTAURANT,"PASADENA, CA",,9.95
NACHOS - REGULAR NACHOS,GREEN STREET RESTAURANT,"PASADENA, CA",,12.95
HOUSE SALAD - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,8.95
HOUSE FRIES - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,5.50
ZUCCHINI BREAD (2 SLICES) - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,2.95
CHICKEN POSOLE - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,8.95
BAG OF CHIPS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,2.00
CAPRESE SKEWERS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,7.50
STUFFED DATES - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,8.50
MARGHERITA FLAT BREAD - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,10.95
APPLE GOAT CHEESE FLAT BREAD - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,12.95
GINGER FLANK STEAK TACOS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,14.95
SHRIMP TACOS - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,10.95
DIANNE - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,14.50
DIANNE - LUNCHEON,GREEN STREET RESTAURANT,"PASADENA, CA",,16.50
DIANNE - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,18.50
KALE DIANNE - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
KALE DIANNE - LUNCHEON,GREEN STREET RESTAURANT,"PASADENA, CA",,17.50
KALE DIANNE - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,19.50
CORNUCOPIA - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,16.50
CORNUCOPIA - LUNCHEON,GREEN STREET RESTAURANT,"PASADENA, CA",,18.50
CORNUCOPIA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,20.50
"BEET, GOAT CHEESE & ARUGULA - REGULAR",GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
ARROYO - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,12.50
ARROYO - LUNCHEON,GREEN STREET RESTAURANT,"PASADENA, CA",,14.50
ARROYO - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.50
GREEN STREET COBB - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
GREEN STREET COBB - LUNCHEON,GREEN STREET RESTAURANT,"PASADENA, CA",,17.50
GREEN STREET COBB - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,19.50
GRILLED CHICKEN TOSTADA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.50
CAESAR WITH CHARBROILED CHICKEN - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,11.50
CAESAR WITH CHARBROILED CHICKEN - LUNCH,GREEN STREET RESTAURANT,"PASADENA, CA",,13.50
CAESAR WITH CHARBROILED CHICKEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
SOUTHWEST CAESAR WITH CHICKEN - SMALL,GREEN STREET RESTAURANT,"PASADENA, CA",,12.50
SOUTHWEST CAESAR WITH CHICKEN - LUNCH,GREEN STREET RESTAURANT,"PASADENA, CA",,14.50
SOUTHWEST CAESAR WITH CHICKEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.50
CHIPOTLE LIME SHRIMP - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,19.95
THAI CHICKEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.95
GINGER VEGGIE BOWL - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,13.95
KAREN'S GRILLED CLUB - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.95
REUBEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,17.95
CHICKEN CLUB - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
GRILLED SOUTHWEST CHICKEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
PASADENA STEAK - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,18.95
A.L.T. - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,12.95
B.L.A.T. - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,14.95
STEPHEN'S - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
THE SANDWICH BOARD - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,13.50
HALFER - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,12.50
DELUXE HALFER - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.50
ALL AMERICAN BURGER - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
PORTOBELLO BURGER - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.95
ROASTED POBLANO TURKEY BURGER - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
BEYOND BURGER™ - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,17.95
CHARBROILED CHICKEN & PAPAYA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,16.95
BBQ CHICKEN - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,15.95
CHICKEN PASTA - REGULAR,GREEN STREET RESTAURANT,"PASADENA, CA",,18.95
