name,restaurant_name,identifier,calories,price_usd
FARRO SALAD - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,11.40
KALE SALAD - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,11.40
BIBB SALAD - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,11.40
ROMAINE SALAD - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,11.40
CRISPY POTATO - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,9.40
CAULIFLOWER - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,9.40
LABNEH - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,10.40
O.G. BURGER - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,13.40
'SHROOM BURGER - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,13.40
CHICKEN PARM SANDWICH - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,13.40
SPICY CHICKEN SANDWICH - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,13.40
PIZZA MARINARA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,10.40
MARGHERITA PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,14.40
PEPPERONI PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
THE BARBE PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
SPICY PICKLE PIZZA (LA BBQ COLLAB) - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,16.40
KALE PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
CHEESE LOUISE PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
FUNGHI (MUSHROOM) PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
HOT HONEY PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
BLACK GARLIC PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
MARGHERITA DI BUFALA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,18.40
*NEW* SUMMER ELOTE PIZZA - VEGGIE - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,15.40
DANDELION PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
SUMMER ELOTE PIZZA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,17.40
JARRITOS GRAPEFRUIT - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,3.50
BOYLAN CREME SODA - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,3.50
BOYLAN ROOT BEER - REGULAR,GREENFIELD'S CAFE,"CHOWNOW, LINCOLN, NE",,3.50
