name,restaurant_name,identifier,calories,price_usd
USE YOUR GOLD CARD (ADD TO CART FOR POINTS) - POINTS,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,0.00
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,0.00
PASTA ALFREDO - SMALL CHICKEN (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA ALFREDO - LARGE CHICKEN (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA ALFREDO - SMALL SHRIMP (ACCOMMODATES 2 PEOPLE,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA ALFREDO - LARGE SHRIMP (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA MARSALA - SMALL CHICKEN (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA MARSALA - LARGE CHICKEN (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA MARSALA - SMALL SHRIMP (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA MARSALA - LARGE SHRIMP (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA PARMIGIANA - SMALL CHICKEN (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA PARMIGIANA - LARGE CHICKEN (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA PRIMAVERA - SMALL CHICKEN (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA PRIMAVERA - LARGE CHICKEN (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
PASTA PRIMAVERA - SMALL SHRIMP (ACCOMMODATES 2 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
PASTA PRIMAVERA - LARGE SHRIMP (ACCOMMODATES 4-6 PEOPLE),GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,55.00
GREENSIDE GRILLE WINGS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
HOUSE SLIDERS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,12.00
HOUSE SPECIAL WINGS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
HOUSE TATER TOTS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,9.00
MEDITERRANEAN PLATTER - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,18.00
FISH TACOS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,18.00
SHRIMP THREE WAYS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,18.00
STEAK & CHEESE EGG ROLLS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,12.00
KEY WEST SHRIMP TACOS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,18.00
ALE ONION SOUP - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,7.00
CLASSIC CAESAR SALAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,11.00
MEDITERRANEAN SALAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,12.00
NEW ENGLAND CLAM CHOWDER - CUP,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.00
NEW ENGLAND CLAM CHOWDER - BOWL,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,7.00
SOUP OF THE DAY - CUP SOUP OF THE DAY,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,4.00
SOUP OF THE DAY - BOWL SOUP OF THE DAY,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,6.00
THAI NOODLE BOWL - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,15.00
MARGARITA FLATBREAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,14.00
SICILIAN PEPPERONI FLATBREAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,15.00
HOUSE SAUSAGE FLATBREAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
PESTO SHRIMP FLATBREAD - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,19.00
BEYOND BURGER - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
BLACK & BLEU BURGER - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
GOLF GRAB & GO SANDWICH - TURKEY,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.50
GOLF GRAB & GO SANDWICH - HAM,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.50
GOLF GRAB & GO SANDWICH - ROAST BEEF,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.50
GOLF HOT DOG - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,4.50
GREENSIDE SIGNATURE BURGER - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
LOBSTER ROLL - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,28.00
OLD NEIGHBORHOOD HOT DOG - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,12.00
REUBEN - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,14.00
BAJA CHICKEN SANDY - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
STEAK & CHEESE SANDY - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,16.00
TURKEY CLUB WRAP - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,14.00
LIMONCELLO SHRIMP - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,28.00
GOAT CHEESE CHICKEN - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,24.00
CHICKEN PARMIGIANA - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,24.00
LOBSTER GNOCCHI - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,28.00
SHORT RIB  INCH RAMEN INCH  NOODLES - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,22.00
POMEGRANATE GLAZED SALMON - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,28.00
CIDER BRINED PORK CHOP - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,30.00
DAYBOAT STUFFED HADDOCK - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,28.00
MANHATTAN STRIP STREAK - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,31.00
TAVERN STEAK TIPS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,23.00
SIDE BROCCOLI - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.00
SIDE KETTLE CHIPS - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,3.00
SIDE MASHED POTATOES - REGULAR,GREENSIDE GRILLE,"CHOWNOW, HINGHAM, MA",,5.00
