name,restaurant_name,identifier,calories,price_usd
NACHOS DELUXE - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.95
LOADED WAFFLE FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.75
CHEESE STICKS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.65
FLAMIN'  CHICKEN FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.25
LOADED POTATO CHIPS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.45
CHICKEN WINGS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.95
ONION TANGLERS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.95
FRIED MUSHROOMS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.95
CHICKEN SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.45
CHEF SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.45
THAI SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.65
APPLE PECAN SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.75
SANTA FE SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.45
HAMBURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.15
CHEESEBURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.45
MUSHROOM SWISS WITH BACON - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.55
SLAW BURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.95
COWBOY BURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.65
REGULAR DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.65
CHILI DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.95
CHEESE DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.95
CHILI CHEESE DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.25
SLAW DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.95
CORN DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
CHICKEN TENDER BASKET - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,8.25
CHICKEN NUGGETS BASKET - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.95
CHICKEN WING BASKET - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.95
FRIED CHICKEN 1/4 (WHITE) - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.45
FRIED CHICKEN 1/4 (DARK) - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.45
FRIED CHICKEN (WHOLE) - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.45
BEER BATTERED FISH & CHIPS BASKET - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.75
FRIED CATFISH DINNER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.65
FISH FILLET DINNER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,9.25
POPCORN SHRIMP & CLAM STRIP BASKET - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,8.75
CHICKEN SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
FRIED FISH SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.75
PORK TENDERLOIN SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
TURKEY BACON CLUB - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.95
ITALIAN SUB - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.45
CUBAN SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.45
CHICKEN PHILLY - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.25
GRILLED HAM AND CHEESE - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.75
BAYOU CHICKEN SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.95
CLASSIC RUEBEN - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.45
PHILLY STEAK - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,7.75
PULLED PORK SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.75
CHICKEN QUESADILLA - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
CHEESEBURGER WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
TURKEY BACON RANCH WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
THAI WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
SANTA FE WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
CLASSIC CHICKEN WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
BUFFALO CHICKEN WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
BBQ CHICKEN WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
CHICKEN TERIYAKI WRAP - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.35
FRENCH FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
COLESLAW - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
POTATO SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
VEGGIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
½ ONION TANGLERS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
MASHED POTATO - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
CHILI CHEESE FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.25
CHEESE FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.45
SIDE SALAD - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.25
WAFFLE FRIES - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.55
MAC & CHEESE - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.65
1/2 FRIED OKRA - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.95
½ FRIED MUSHROOMS - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
FRIED FISH SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
HAMBURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
CHEESEBURGER - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
HOT DOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
GRILLED CHEESE - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
CHICKEN SANDWICH - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
CORNDOG - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,6.25
FOUNTAIN DRINK - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.45
FRESH BREWED COFFEE - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.25
TEA - REGULAR,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,2.35
SCOOPED VANILLA - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED VANILLA - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED VANILLA - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
SCOOPED CHOCOLATE - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED CHOCOLATE - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED CHOCOLATE - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
SCOOPED STRAWBERRY - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED STRAWBERRY - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED STRAWBERRY - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
SCOOPED SUNKEN TREASURE - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED SUNKEN TREASURE - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED SUNKEN TREASURE - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
SCOOPED STELLAR COFFEE - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED STELLAR COFFEE - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED STELLAR COFFEE - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
SCOOPED GARBAGE CAN - SMALL,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,3.45
SCOOPED GARBAGE CAN - MEDIUM,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,4.45
SCOOPED GARBAGE CAN - LARGE,GUADALAJARA FAMILY MEXICAN RESTAURANT,"AURORA, CO",,5.25
