name,restaurant_name,identifier,calories,price_usd
APPETIZER SAMPLER - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
BUFFALO WINGS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,8.99
CHEDDAR CAULIFLOWER - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,7.99
FRIED MUSHROOMS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,7.99
GOUDA MAC & CHEESE BITES - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,9.99
HOMEMADE ONION RINGS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,7.99
LIVERS & GIZZARDS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,9.99
SANTA FE EGG ROLLS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,10.49
SHRIMP COCKTAIL - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,14.99
BOWL OF PRIME BEEF SOUP - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,5.99
COTTAGE CHEESE - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,3.50
HOUSE SALAD - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,3.99
J&J SALAD - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
PRIME SOUP & SALAD - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,8.99
CHICKEN SANDWICH - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
PORK TENDERLOIN SANDWICH - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
PRIME FRENCH DIP SANDWICH - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,14.99
PRIME STEAK BURGER - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,13.99
PRIME STEAK SLIDERS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
BONELESS CHICKEN BREAST - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,14.99
CHICKEN STRIPS - 3 STRIPS,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,11.99
CHICKEN STRIPS - 5 STRIPS,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,14.99
FRIED CHICKEN BREASTS - 1 BREAST,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,11.99
FRIED CHICKEN BREASTS - 3 BREASTS,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,18.99
FRIED ONE-HALF CHICKEN - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,15.99
FRIED SHRIMP - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,19.99
LIVERS OR GIZZARDS - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,12.99
SHRIMP SCAMPI - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,19.99
WHOLE CATFISH ON THE BONE - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,18.99
FILET MIGNON - 5 OZ.,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,23.99
FILET MIGNON - 8 OZ.,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,33.99
FILET MIGNON - 14 OZ.,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,54.99
KC STRIP - 10 OZ.,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,28.99
KC STRIP - 14 OZ.,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,38.99
PLAYBOY STRIP - REGULAR,"GYU-KAKU JAPANESE BBQ - SAN MATEO, CA","SAN MATEO, CA",,55.99
