name,restaurant_name,identifier,calories,price_usd
COCONUT SHRIMP - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,12.99
MOZZARELLA STICKS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,10.99
ONION RINGS | APPETIZER - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,10.99
FRIED PICKLE CHIPS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,10.49
CRAB CAKES - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,14.99
CHICKEN BITES - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.99
FRIED SCALLOPS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,22.99
FRIED WHOLE BELLY CLAMS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,24.99
FRIED CLAM STRIPS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,14.99
FRIED SHRIMP - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,18.99
STUFFED QUAHOG - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,5.99
FRIED CALAMARI - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,13.99
JUMBO SHRIMP - 1 SHRIMP,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,2.75
JUMBO SHRIMP - 6 SHRIMPS,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,13.99
CLAM CHOWDER | CUP - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,7.99
FRENCH ONION SOUP | CUP - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,6.49
CLAM CHOWDER | BOWL - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,9.49
FRENCH ONION SOUP | BOWL - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,7.49
GREEK SALAD - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,9.99
SPINACH SALAD - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,9.99
HOUSE SALAD - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,8.99
CAESAR SALAD - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,8.99
FRIED HADDOCK SANDWICH - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,14.99
CHICKEN PARM SANDWICH - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,14.99
CHEESEBURGER - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,13.99
FISH TACOS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,12.99
GRILLED CHICKEN TACOS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,12.99
GRILLED CAJUN SHRIMP TACOS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,12.99
MARGHERITA PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,10.49
WHITE PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.49
POTATO SKIN PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.49
BLT PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.49
BUFFALO CHICKEN PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.49
CHICKEN SCAMPI PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,11.49
SCALLOP & BACON PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,15.49
CHEESE PIZZA - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,8.99
LOBSTER ROLLS - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,23.99
LOBSTER ROLLS - JUMBO,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,36.99
FRIED LOBSTER - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,36.99
LOBSTER CASSEROLE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,36.99
WHOLE BELLY CLAMS PLATE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,28.99
CLAM STRIPS PLATE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,18.99
FRIED HADDOCK PLATE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,20.99
FRIED SHRIMP PLATE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,22.99
FRIED SCALLOP PLATE - REGULAR,HADDAD'S OCEAN CAFE,"CHOWNOW, MARSHFIELD, MA",,26.99
