name,restaurant_name,identifier,calories,price_usd
GRAPEFRUIT HIBISCUS KOMBUCHA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.50
GRAPEFRUIT SODA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.50
COLA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,2.50
1919 ROOT BEER - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.25
TOPO CHICO - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,2.50
APPLE SODA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,2.50
HUCKLEBERRY SODA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,2.50
GINGER SODA - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.50
LEMON SPARKLING WATER - REGULAR,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.50
LATTE - 8 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.25
LATTE - 12 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.75
LATTE - 16OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,5.25
MOCHA - 8 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,5.00
MOCHA - 12 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,5.50
MOCHA - 16OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,6.00
CAPPUCCINO - 8 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.25
CAPPUCCINO - 12 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.75
CAPPUCCINO - 16 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,5.25
AMERICANO - 12 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.50
AMERICANO - 8 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.00
AMERICANO - 16OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,4.00
DRIP COFFEE - 8 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,2.75
DRIP COFFEE - 12 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.00
DRIP COFFEE - 16 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.25
MACCHIATO - 4 OZ,HARK CAFE,"CHOWNOW, MINNEAPOLIS, MN",,3.50
