name,restaurant_name,identifier,calories,price_usd
6-PACK OF ASSORTED DONUT HOLES - 6-PACK,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.29
SINGLE DONUT - 1 DONUT,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.49
1/2 DOZEN ASSORTED DONUTS - 6 DONUTS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,8.49
BAKER'S DOZEN ASSORTED DONUTS (13) - 13 DONUTS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,15.49
SINGLE MUFFIN - 1 MUFFIN,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.19
1/2 DOZEN ASSORTED MUFFINS - 6 MUFFINS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,12.50
DOZEN ASSORTED MUFFINS - 12 MUFFINS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,21.99
SINGLE BAGEL - 1 BAGEL,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.69
1/2 DOZEN BAGELS WITHOUT TOPPINGS - 6 BAGELS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,8.99
DOZEN BAGELS WITHOUT TOPPINGS - 12 BAGELS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,15.75
1/2 DOZEN BAGELS WITH TOPPINGS - 6 BAGELS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,14.99
DOZEN BAGELS WITH TOPPINGS - 12 BAGELS,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,21.99
COFFEE ROLL - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
HASH BROWN - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.50
APPLE TURNOVER - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
RASPBERRY TURNOVER - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
CINNAMON STICK - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
APPLE STRUDEL - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.19
PLAIN CROISSANT - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
NUTELLA CROISSANT - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.79
CHEESE DANISH - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
FIGURE 8 DANISH - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.39
CHOCOLATE CHIP COOKIE - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.79
M&M CHOCOLATE CHIP COOKIE - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.79
PEANUT BUTTER COOKIE - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,1.79
YOGURT PARFAIT - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,4.19
HARD BOILED EGGS (3) - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,2.85
CEDARS HUMMUS SNACK PACK - REGULAR,HEAV'NLY DONUTS - METHUEN,"CHOWNOW, METHUEN, MA",,3.35
