name,restaurant_name,identifier,calories,price_usd
2 EGGS WITH POTATOES - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,4.99
BREAKFAST BURRITO - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,5.99
CHORIZO CON HUEVO - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,9.49
EGG PLATTER - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,9.99
HUEVOS A LA MEXICANA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
HUEVOS RANCHEROS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,10.99
STEAK & EGGS (10OZ) - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,11.99
MENUDO - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
4 CHICKEN STRIPS WITH FRIES - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
GUACAMOLE - HALF ORDER,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,5.99
GUACAMOLE - SIDE OF,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
NACHOS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,6.99
SUPER NACHOS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,12.99
CHIPS TO GO - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,3.99
PINT OF HOT SAUCE - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,2.49
PINT OF CHUNKY MILD SAUCE - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,3.49
SIDE OF PICO DE GALLO - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,2.49
FAJITA NACHOS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,13.99
FRENCH FRIES - FULL ORDER,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,5.99
MEXICAN FRIES - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,5.99
STEAK FRIES WITH CHEESE - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.99
FRECH FRIES SMOTHERED WITH CHILE VERDE - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.99
CHICKEN FAJITA FRIES WITH CHEESE - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,12.99
CRISPY CHICKEN SALAD - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.49
GRILLED CHICKEN SALAD - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.49
SHRIMP SALAD - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,10.49
CHEESE QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,6.99
CHICKEN FAJITA QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.99
CHICKEN QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.49
GROUND BEEF QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.49
SHREDDED BEEF QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.99
SHRIMP FAJITA QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,10.99
SHRIMP QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,9.99
STEAK FAJITA QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,9.99
STEAK QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,8.99
VEGGIE QUESADILLA - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
FAJITA TACOS (CORN TORTILLA) - 3 CORN FAJITA TACOS,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,11.99
HARD SHELL TACOS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,7.99
SOFT SHELL TACOS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,10.49
FAJITA TACOS (FLOUR TORTILLA) - 2 FLOUR FAJITA TACOS,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,11.99
CHEESE ENCHILADAS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,9.99
CHILE VERDE ENCHILADAS - REGULAR,HIMALAYAN CAFE,"CHOWNOW, RENTON, WA",,10.99
