name,restaurant_name,identifier,calories,price_usd
C-2 WINGS - SMALL (6 PCS.),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,9.00
C-2 WINGS - MEDIUM (12 PCS.),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,17.00
C-2 WINGS - LARGE (24 PCS.),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,32.00
C-1 POPCORN CHICKEN - SMALL,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,9.00
C-1 POPCORN CHICKEN - MEDIUM,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,17.00
C-1 POPCORN CHICKEN - LARGE,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,32.00
SEOUL CHICKEN SANDWICH - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,6.50
C-4 BONELESS THIGHS - SMALL (4),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,9.00
C-4 BONELESS THIGHS - MEDIUM (8),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,17.00
C-4 BONELESS THIGHS - LARGE (16),HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,32.00
T-2 SPICY PORK TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.00
T-7 FISH TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,4.25
T-5 TOFU TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.75
T-3 BBQ CHICKEN TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.00
T-1 BULGOGI TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.00
T-4 KIMCHI TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.00
T-6 SHRIMP TACO - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,3.00
B-1 BIBIMBAP - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,8.99
SIDE OF RICE - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,2.00
PICKLED RADISH - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,2.00
EXTRA GLAZE - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,1.95
SEASONED FRENCH FRIES - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,2.95
SIDE OF KIMCHI - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,1.75
KOREAN CORN DOG - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,7.00
S-3 DEEP-FRIED DUMPLINGS - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,5.00
S-2 SEOUL GIANT DUMPLINGS - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,8.00
S-1 KIMCHI FRIES - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,8.00
S-4 DUK-BOK-KI - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,8.00
D-3 SPICY BBQ PORK BENTO BOX - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,12.00
D-4 BBQ CHICKEN BENTO BOX - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,12.00
D-2 BULGOGI BENTO BOX - REGULAR,HOLA SEOUL,"CHOWNOW, ANN ARBOR, MI",,13.00
