name,restaurant_name,identifier,calories,price_usd
MAKE YOUR OWN SEAFOOD COMBO - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,0.00
THE CAJUN BOIL - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,23.00
THE REEL'S CATCH - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,52.00
THE MARDI GRAS - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,40.00
CORN ON THE COB - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.00
CAJUN FRIES - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.50
FRIES - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.00
POTATOES (2) - 3 POTATOES,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.00
SAUCE - 8 OZ,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.00
SWEET POTATO FRIES - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,5.00
WHITE RICE - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,2.00
1/2 LB SAUSAGE - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,6.50
BOILED EGG (2) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,3.00
COCONUT SHRIMP (8) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,10.00
CRAB BITES (8) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,12.00
CRABMEAT FRIES - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,9.00
FRIED CALAMARI - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,10.00
FRIED MOZZARELLA CHEESE (6) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,6.00
WINGS - 6 WINGS,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,7.50
WINGS - 12 WINGS,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,14.00
STEAMED OYSTERS - 6,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,12.50
STEAMED OYSTERS - 12,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,24.00
HUSH PUPPIES (10) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,4.00
GARLIC BREAD STICKS (4) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,5.00
CHICKEN TENDERS BASKET (3) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,11.00
FRIED SHRIMP BASKET (8) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,14.00
FRIED CATFISH BASKET (3) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,13.00
FRIED FLOUNDER BASKET (3) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,13.00
FRIED OYSTER BASKET (10) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,14.00
WINGS BASKET (8) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,13.00
CATFISH PO'BOY SANDWICH - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,12.00
FLOUNDER PO'BOY SANDWICH - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,12.00
SHRIMP PO'BOY SANDWICH - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,14.00
CHICKEN PO'BOY SANDWICH - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,11.00
SPAGHETTI MARINARA WITH SHRIMP & MUSSELS - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,16.00
CRAB MEAT ROLL (1) - REGULAR,HOOK & REEL- GREENVILLE,"CHOWNOW, GREENVILLE, NC",,13.00
