name,restaurant_name,identifier,calories,price_usd
SPICY GARLIC POTATOES - REGULAR,HUMMUS LABS,"PASADENA, CA",,8.00
THE HEATER - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
FRIED WOK BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
FRIED HONEY BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
FRIED BAJA BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
FRIED NITRO BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
FRIED FARM BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
THE HEATER - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
GRILLED BAJA BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
GRILLED HONEY BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
GRILLED WOK BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
GRILLED NITRO BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
GRILLED FARM BIRD SANDWICH - REGULAR,HUMMUS LABS,"PASADENA, CA",,13.00
CHICKEN TENDERS - REGULAR,HUMMUS LABS,"PASADENA, CA",,11.50
SPICY GARLIC POTATOES - REGULAR,HUMMUS LABS,"PASADENA, CA",,8.00
FRIED BRUSSELS SPROUTS - REGULAR,HUMMUS LABS,"PASADENA, CA",,8.00
SMALL BRUSSELS SPROUTS - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
CALI-SLAW - REGULAR,HUMMUS LABS,"PASADENA, CA",,7.00
SMALL CALI-SLAW - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
FRIES - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
CHEEZY PASTA - REGULAR,HUMMUS LABS,"PASADENA, CA",,8.00
SMALL CHEEZY PASTA - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
KALE TABBOULI - REGULAR,HUMMUS LABS,"PASADENA, CA",,7.00
SMALL KALE TABBOULI - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
PASTA SALAD - REGULAR,HUMMUS LABS,"PASADENA, CA",,8.00
SMALL PASTA SALAD - REGULAR,HUMMUS LABS,"PASADENA, CA",,4.00
FOUNTAIN DRINK - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
FRESH LEMONADE - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
HIBISCUS TEA - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
HIBISCUS TEA + LEMONADE - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
ARNOLD PALMER - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
UNSWEETENED ICED TEA - REGULAR,HUMMUS LABS,"PASADENA, CA",,3.00
GARLIC AIOLI SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.50
BBQ SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.50
CHIPOTLE HONEY SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.50
RANCH SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.60
HONEY MUSTARD SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.50
HABANERO BUFFALO SAUCE - REGULAR,HUMMUS LABS,"PASADENA, CA",,0.60
