name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,0.00
BRUSCHETTA - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,9.95
CALAMARI FRITTI - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,15.95
CALAMARI SALTATI - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,15.95
COZZE E VONGOLE IN GUAZZETTO - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,17.50
SCAMPI PICCANTI - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,19.95
FILET MIGNON - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,44.95
POLLO PARMIGIANA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.95
SPAGHETTI & MEATBALLS - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,26.95
CAESAR SALAD WITH GRILLED CHICKEN - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,17.95
RIGATONI PRIMAVERA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,23.95
FETTUCCINE DEL GRANAIO - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,26.50
FETTUCCINE DI MARE - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,27.95
FETTUCCINE GAMBERONI - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,27.95
GAMBERONI AL LIMONE - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,28.50
GAMBERONI ALLA DIAVOLA - REGULAR,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,28.50
GNOCCHI GORGONZOLA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.50
LASAGNA FORNO - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.95
LINGUINE PESCATORE - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,28.50
LINGUINE VONGOLE - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,26.95
POLLO CALABRESE - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.95
POLLO GORGONZOLA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,25.95
POLLO MARSALA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.95
POLLO PICCATA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,24.95
RIGATONI SICILIANA - .,IL GRANAIO AUTHENTIC ITALIAN,"CHOWNOW, MOUNT VERNON, WA",,23.95
