name,restaurant_name,identifier,calories,price_usd
FAMILY DINNER PACKAGE - 1 - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,99.99
FAMILY DINNER PACKAGE - 2 - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,149.99
MANGO COLADA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,7.99
RED SANGRIA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,7.99
TRADITIONAL MARGARITA WITH LIME - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,7.99
SHRIMP COCKTAIL KABOB - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,11.99
CHICKEN KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,8.99
VEGETABLE SAMOSA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,5.99
PAPRI CHAAT - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,8.99
VEGETARIAN APPETIZER PLATTER - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,11.99
PAPADUM - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,2.99
ALOO TIKKI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,7.99
ALOO PARATHA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,8.99
BHEL POORI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,7.99
SPICY STEAMED MUSSELS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,13.99
LENTIL & SPINACH SOUP - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,5.99
TAMATAR KA SHORBA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,5.99
KALE & CUCUMBER - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,8.99
CHANNA CHAAT SALAD - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,8.99
ROTI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,3.99
COCONUT NAAN - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,5.99
FRESH BAKED NAAN - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,3.99
NAAN BREAD BASKET - HALF,INDIA,"CHOWNOW, PROVIDENCE, RI",,10.99
NAAN BREAD BASKET - FULL,INDIA,"CHOWNOW, PROVIDENCE, RI",,16.99
LAMB CHOP KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,25.99
PANEER SHEESH KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,18.99
SWORDFISH SHEESH KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
CHICKEN SHEESH KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,18.99
SHRIMP SHEESH KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
SIRLOIN SHEESH KABOBS - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
MIXED KABOB PLATTER - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,24.99
HOUSE SPECIAL TANDOORI CHICKEN - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,20.99
KALE KHICHERI - INDIA'S SUPER FOOD - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,15.99
VEGGIE & PANEER BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,15.99
VEGGIE & TOFU BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,14.99
CHICKEN BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,17.99
LAMB BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,18.99
SHRIMP BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,18.99
GOAT BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,19.99
INDIA'S BIRYANI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,20.99
KORMA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,14.99
SAAG - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,13.99
MANGO - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,13.99
MASALA - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,13.99
JALFREZI - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,14.99
VINDALOO - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,13.99
KARAHI GOSHT - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,19.99
PEPPERED TAMARIND DUCK - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
SEAFOOD MANGO - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
BENGAL FISH CURRY - REGULAR,INDIA,"CHOWNOW, PROVIDENCE, RI",,21.99
